instance,iteration,initial_cost,final_cost,improvement_abs,improvement_pct,time_ms,note
J20M5N1,1,1828,1710,118,6.45514,0.021223,
J20M5N1,2,1828,1710,118,6.45514,0.020718,
J20M5N1,3,1828,1710,118,6.45514,0.020246,
J20M5N1,4,1828,1710,118,6.45514,0.020182,
J20M5N1,5,1828,1710,118,6.45514,0.02032,
J20M10N1,1,2140,2036,104,4.85981,0.05466,
J20M10N1,2,2140,2036,104,4.85981,0.053626,
J20M10N1,3,2140,2036,104,4.85981,0.06518,
J20M10N1,4,2140,2036,104,4.85981,0.059134,
J20M10N1,5,2140,2036,104,4.85981,0.051278,
J20M20N1,1,2974,2858,116,3.90047,0.06847,
J20M20N1,2,2974,2858,116,3.90047,0.067644,
J20M20N1,3,2974,2858,116,3.90047,0.067482,
J20M20N1,4,2974,2858,116,3.90047,0.067376,
J20M20N1,5,2974,2858,116,3.90047,0.067541,
J50M5N1,1,3975,3868,107,2.69182,0.287973,
J50M5N1,2,3975,3868,107,2.69182,0.30502,
J50M5N1,3,3975,3868,107,2.69182,0.287534,
J50M5N1,4,3975,3868,107,2.69182,0.287782,
J50M5N1,5,3975,3868,107,2.69182,0.307758,
J50M10N1,1,4711,4549,162,3.43876,0.50827,
J50M10N1,2,4711,4549,162,3.43876,0.511823,
J50M10N1,3,4711,4549,162,3.43876,0.507909,
J50M10N1,4,4711,4549,162,3.43876,0.511056,
J50M10N1,5,4711,4549,162,3.43876,0.507938,
J50M20N1,1,5504,5370,134,2.43459,1.0177,
J50M20N1,2,5504,5370,134,2.43459,1.01782,
J50M20N1,3,5504,5370,134,2.43459,1.06127,
J50M20N1,4,5504,5370,134,2.43459,1.09154,
J50M20N1,5,5504,5370,134,2.43459,1.04793,
J100M5N1,1,8059,7919,140,1.73719,2.16462,
J100M5N1,2,8059,7919,140,1.73719,2.16881,
J100M5N1,3,8059,7919,140,1.73719,2.16004,
J100M5N1,4,8059,7919,140,1.73719,2.1677,
J100M5N1,5,8059,7919,140,1.73719,2.15923,
J100M10N1,1,8854,8711,143,1.61509,4.00718,
J100M10N1,2,8854,8711,143,1.61509,4.02194,
J100M10N1,3,8854,8711,143,1.61509,4.05452,
J100M10N1,4,8854,8711,143,1.61509,4.09869,
J100M10N1,5,8854,8711,143,1.61509,4.01126,
J100M20N1,1,9596,9410,186,1.93831,8.23293,
J100M20N1,2,9596,9410,186,1.93831,8.20402,
J100M20N1,3,9596,9410,186,1.93831,8.20087,
J100M20N1,4,9596,9410,186,1.93831,8.20262,
J100M20N1,5,9596,9410,186,1.93831,8.20918,
J200M5N1,1,15790,15675,115,0.728309,17.5363,
J200M5N1,2,15790,15675,115,0.728309,17.528,
J200M5N1,3,15790,15675,115,0.728309,17.6188,
J200M5N1,4,15790,15675,115,0.728309,27.1062,
J200M5N1,5,15790,15675,115,0.728309,17.6165,
J200M10N1,1,16855,16657,198,1.17473,35.4654,
J200M10N1,2,16855,16657,198,1.17473,34.9492,
J200M10N1,3,16855,16657,198,1.17473,36.5373,
J200M10N1,4,16855,16657,198,1.17473,37.5021,
J200M10N1,5,16855,16657,198,1.17473,34.9201,
J200M20N1,1,17521,17397,124,0.707722,72.1229,
J200M20N1,2,17521,17397,124,0.707722,72.9079,
J200M20N1,3,17521,17397,124,0.707722,72.6639,
J200M20N1,4,17521,17397,124,0.707722,72.2389,
J200M20N1,5,17521,17397,124,0.707722,72.3857,
J500M5N1,1,38991,38843,148,0.379575,309.056,
J500M5N1,2,38991,38843,148,0.379575,308.064,
J500M5N1,3,38991,38843,148,0.379575,307.12,
J500M5N1,4,38991,38843,148,0.379575,316.837,
J500M5N1,5,38991,38843,148,0.379575,308.886,
J500M10N1,1,41294,41164,130,0.314816,569.957,
J500M10N1,2,41294,41164,130,0.314816,568.462,
J500M10N1,3,41294,41164,130,0.314816,570.939,
J500M10N1,4,41294,41164,130,0.314816,568.898,
J500M10N1,5,41294,41164,130,0.314816,572.66,
J500M20N1,1,43146,42943,203,0.470496,1124.93,
J500M20N1,2,43146,42943,203,0.470496,1128.55,
J500M20N1,3,43146,42943,203,0.470496,1145.56,
J500M20N1,4,43146,42943,203,0.470496,1128.67,
J500M20N1,5,43146,42943,203,0.470496,1127.04,
