instance,iteration,initial_cost,final_cost,improvement_abs,improvement_pct,time_ms,note
J20M5N1,1,1828,1403,425,23.2495,3.14888,final_T=10.123424 current_cost=1408
J20M5N1,2,1828,1403,425,23.2495,3.23097,final_T=10.123424 current_cost=1408
J20M5N1,3,1828,1403,425,23.2495,3.12213,final_T=10.123424 current_cost=1408
J20M5N1,4,1828,1403,425,23.2495,3.15246,final_T=10.123424 current_cost=1408
J20M5N1,5,1828,1403,425,23.2495,3.14819,final_T=10.123424 current_cost=1408
J20M10N1,1,2140,1720,420,19.6262,4.18141,final_T=10.201481 current_cost=1730
J20M10N1,2,2140,1720,420,19.6262,3.24115,final_T=10.201481 current_cost=1730
J20M10N1,3,2140,1720,420,19.6262,3.78804,final_T=10.201481 current_cost=1730
J20M10N1,4,2140,1720,420,19.6262,4.56963,final_T=10.201481 current_cost=1730
J20M10N1,5,2140,1720,420,19.6262,4.54137,final_T=10.201481 current_cost=1730
J20M20N1,1,2974,2458,516,17.3504,5.21506,final_T=10.022692 current_cost=2513
J20M20N1,2,2974,2458,516,17.3504,5.78435,final_T=10.022692 current_cost=2513
J20M20N1,3,2974,2458,516,17.3504,5.65023,final_T=10.022692 current_cost=2513
J20M20N1,4,2974,2458,516,17.3504,5.14669,final_T=10.022692 current_cost=2513
J20M20N1,5,2974,2458,516,17.3504,7.30762,final_T=10.022692 current_cost=2513
J50M5N1,1,3975,3131,844,21.2327,56.2639,final_T=8.485583 current_cost=3193
J50M5N1,2,3975,3131,844,21.2327,56.3139,final_T=8.485583 current_cost=3193
J50M5N1,3,3975,3131,844,21.2327,55.076,final_T=8.485583 current_cost=3193
J50M5N1,4,3975,3131,844,21.2327,54.9878,final_T=8.485583 current_cost=3193
J50M5N1,5,3975,3131,844,21.2327,64.5391,final_T=8.485583 current_cost=3193
J50M10N1,1,4711,3720,991,21.0359,152.477,final_T=8.082955 current_cost=3794
J50M10N1,2,4711,3720,991,21.0359,158.181,final_T=8.082955 current_cost=3794
J50M10N1,3,4711,3720,991,21.0359,158.119,final_T=8.082955 current_cost=3794
J50M10N1,4,4711,3720,991,21.0359,157.564,final_T=8.082955 current_cost=3794
J50M10N1,5,4711,3720,991,21.0359,167.081,final_T=8.082955 current_cost=3794
J50M20N1,1,5504,4615,889,16.1519,634.742,final_T=7.500126 current_cost=4700
J50M20N1,2,5504,4615,889,16.1519,487.117,final_T=7.500126 current_cost=4700
J50M20N1,3,5504,4615,889,16.1519,495.484,final_T=7.500126 current_cost=4700
J50M20N1,4,5504,4615,889,16.1519,464.332,final_T=7.500126 current_cost=4700
J50M20N1,5,5504,4615,889,16.1519,462.133,final_T=7.500126 current_cost=4700
J100M5N1,1,8059,6282,1777,22.0499,739.751,final_T=5.158884 current_cost=6282
J100M5N1,2,8059,6282,1777,22.0499,734.297,final_T=5.158884 current_cost=6282
J100M5N1,3,8059,6282,1777,22.0499,742.538,final_T=5.158884 current_cost=6282
J100M5N1,4,8059,6282,1777,22.0499,737.336,final_T=5.158884 current_cost=6282
J100M5N1,5,8059,6282,1777,22.0499,738.577,final_T=5.158884 current_cost=6282
J100M10N1,1,8854,7245,1609,18.1726,1356.4,final_T=5.152815 current_cost=7263
J100M10N1,2,8854,7245,1609,18.1726,1308.05,final_T=5.152815 current_cost=7263
J100M10N1,3,8854,7245,1609,18.1726,1307.6,final_T=5.152815 current_cost=7263
J100M10N1,4,8854,7245,1609,18.1726,1336.55,final_T=5.152815 current_cost=7263
J100M10N1,5,8854,7245,1609,18.1726,1301.74,final_T=5.152815 current_cost=7263
J100M20N1,1,9596,7975,1621,16.8925,4620.9,final_T=4.372518 current_cost=8025
J100M20N1,2,9596,7975,1621,16.8925,3960.92,final_T=4.372518 current_cost=8025
J100M20N1,3,9596,7975,1621,16.8925,3675.88,final_T=4.372518 current_cost=8025
J100M20N1,4,9596,7975,1621,16.8925,3875.3,final_T=4.372518 current_cost=8025
J100M20N1,5,9596,7975,1621,16.8925,4503.51,final_T=4.372518 current_cost=8025
J200M5N1,1,15790,12187,3603,22.8182,2268.53,final_T=4.025008 current_cost=12187
J200M5N1,2,15790,12187,3603,22.8182,2260.63,final_T=4.025008 current_cost=12187
J200M5N1,3,15790,12187,3603,22.8182,2271.06,final_T=4.025008 current_cost=12187
J200M5N1,4,15790,12187,3603,22.8182,2277.47,final_T=4.025008 current_cost=12187
J200M5N1,5,15790,12187,3603,22.8182,2319.8,final_T=4.025008 current_cost=12187
J200M10N1,1,16855,13666,3189,18.9202,5000.02,final_T=3.459940 current_cost=13709
J200M10N1,2,16855,13699,3156,18.7244,5000.02,final_T=3.509439 current_cost=13741
J200M10N1,3,16855,13699,3156,18.7244,5000.02,final_T=3.514476 current_cost=13740
J200M10N1,4,16855,13701,3154,18.7125,5000.02,final_T=3.607211 current_cost=13742
J200M10N1,5,16855,13732,3123,18.5286,5000.03,final_T=3.762239 current_cost=13802
J200M20N1,1,17521,15279,2242,12.7961,5000.03,final_T=5.013389 current_cost=15394
