instance,iteration,initial_cost,final_cost,improvement_abs,improvement_pct,time_ms,note
J20M5N1,1,1828,1377,451,24.6718,8.34789,final_T=9.927992 current_cost=1417
J20M5N1,2,1828,1377,451,24.6718,6.34724,final_T=9.927992 current_cost=1417
J20M5N1,3,1828,1377,451,24.6718,6.1246,final_T=9.927992 current_cost=1417
J20M5N1,4,1828,1377,451,24.6718,6.22769,final_T=9.927992 current_cost=1417
J20M5N1,5,1828,1377,451,24.6718,6.16502,final_T=9.927992 current_cost=1417
J20M10N1,1,2140,1706,434,20.2804,11.4919,final_T=9.899937 current_cost=1761
J20M10N1,2,2140,1706,434,20.2804,11.8288,final_T=9.899937 current_cost=1761
J20M10N1,3,2140,1706,434,20.2804,11.1869,final_T=9.899937 current_cost=1761
J20M10N1,4,2140,1706,434,20.2804,13.4212,final_T=9.899937 current_cost=1761
J20M10N1,5,2140,1706,434,20.2804,12.3887,final_T=9.899937 current_cost=1761
J20M20N1,1,2974,2452,522,17.5521,9.20246,final_T=9.911654 current_cost=2455
J20M20N1,2,2974,2452,522,17.5521,9.15014,final_T=9.911654 current_cost=2455
J20M20N1,3,2974,2452,522,17.5521,9.19163,final_T=9.911654 current_cost=2455
J20M20N1,4,2974,2452,522,17.5521,9.15502,final_T=9.911654 current_cost=2455
J20M20N1,5,2974,2452,522,17.5521,9.14072,final_T=9.911654 current_cost=2455
J50M5N1,1,3975,3042,933,23.4717,222.434,final_T=5.974129 current_cost=3042
J50M5N1,2,3975,3042,933,23.4717,219.852,final_T=5.974129 current_cost=3042
J50M5N1,3,3975,3042,933,23.4717,221.328,final_T=5.974129 current_cost=3042
J50M5N1,4,3975,3042,933,23.4717,221.448,final_T=5.974129 current_cost=3042
J50M5N1,5,3975,3042,933,23.4717,221.891,final_T=5.974129 current_cost=3042
J50M10N1,1,4711,3686,1025,21.7576,386.988,final_T=5.869886 current_cost=3791
J50M10N1,2,4711,3686,1025,21.7576,393.921,final_T=5.869886 current_cost=3791
J50M10N1,3,4711,3686,1025,21.7576,393.061,final_T=5.869886 current_cost=3791
J50M10N1,4,4711,3686,1025,21.7576,386.511,final_T=5.869886 current_cost=3791
J50M10N1,5,4711,3686,1025,21.7576,393.641,final_T=5.869886 current_cost=3791
J50M20N1,1,5504,4557,947,17.2057,855.947,final_T=5.569715 current_cost=4567
J50M20N1,2,5504,4557,947,17.2057,871.283,final_T=5.569715 current_cost=4567
J50M20N1,3,5504,4557,947,17.2057,1206.31,final_T=5.569715 current_cost=4567
J50M20N1,4,5504,4557,947,17.2057,938.848,final_T=5.569715 current_cost=4567
J50M20N1,5,5504,4557,947,17.2057,1253.75,final_T=5.569715 current_cost=4567
J100M5N1,1,8059,6201,1858,23.055,993.152,final_T=4.198722 current_cost=6211
J100M5N1,2,8059,6201,1858,23.055,990.363,final_T=4.198722 current_cost=6211
