instance,iteration,initial_cost,final_cost,improvement_abs,improvement_pct,time_ms,note
J20M5N1,1,1828,1381,447,24.453,0.530176,
J20M5N1,2,1828,1381,447,24.453,0.509862,
J20M5N1,3,1828,1381,447,24.453,0.561395,
J20M5N1,4,1828,1381,447,24.453,0.769509,
J20M5N1,5,1828,1381,447,24.453,1.49694,
J20M10N1,1,2140,1731,409,19.1121,1.01873,
J20M10N1,2,2140,1731,409,19.1121,0.715623,
J20M10N1,3,2140,1731,409,19.1121,0.68577,
J20M10N1,4,2140,1731,409,19.1121,0.670783,
J20M10N1,5,2140,1731,409,19.1121,0.679136,
J20M20N1,1,2974,2479,495,16.6443,0.825449,
J20M20N1,2,2974,2479,495,16.6443,0.754799,
J20M20N1,3,2974,2479,495,16.6443,0.74414,
J20M20N1,4,2974,2479,495,16.6443,0.758641,
J20M20N1,5,2974,2479,495,16.6443,0.739828,
J50M5N1,1,3975,3158,817,20.5535,6.51728,
J50M5N1,2,3975,3158,817,20.5535,6.49653,
J50M5N1,3,3975,3158,817,20.5535,6.61872,
J50M5N1,4,3975,3158,817,20.5535,6.52126,
J50M5N1,5,3975,3158,817,20.5535,6.44896,
J50M10N1,1,4711,3861,850,18.0429,6.10492,
J50M10N1,2,4711,3861,850,18.0429,6.08664,
J50M10N1,3,4711,3861,850,18.0429,6.09111,
J50M10N1,4,4711,3861,850,18.0429,6.08863,
J50M10N1,5,4711,3861,850,18.0429,6.07543,
J50M20N1,1,5504,4830,674,12.2456,21.1463,
J50M20N1,2,5504,4830,674,12.2456,19.748,
J50M20N1,3,5504,4830,674,12.2456,20.935,
J50M20N1,4,5504,4830,674,12.2456,22.1263,
J50M20N1,5,5504,4830,674,12.2456,19.9622,
J100M5N1,1,8059,6342,1717,21.3054,150.818,
J100M5N1,2,8059,6342,1717,21.3054,172.379,
J100M5N1,3,8059,6342,1717,21.3054,160.715,
J100M5N1,4,8059,6342,1717,21.3054,155.63,
J100M5N1,5,8059,6342,1717,21.3054,155.411,
J100M10N1,1,8854,7326,1528,17.2577,154.349,
J100M10N1,2,8854,7326,1528,17.2577,153.873,
J100M10N1,3,8854,7326,1528,17.2577,154.68,
J100M10N1,4,8854,7326,1528,17.2577,153.482,
J100M10N1,5,8854,7326,1528,17.2577,154.338,
J100M20N1,1,9596,8235,1361,14.183,199.908,
J100M20N1,2,9596,8235,1361,14.183,200.294,
J100M20N1,3,9596,8235,1361,14.183,199.97,
J100M20N1,4,9596,8235,1361,14.183,200.677,
J100M20N1,5,9596,8235,1361,14.183,199.741,
J200M5N1,1,15790,12095,3695,23.4009,2154.09,
J200M5N1,2,15790,12095,3695,23.4009,2160.77,
J200M5N1,3,15790,12095,3695,23.4009,2171.37,
J200M5N1,4,15790,12095,3695,23.4009,2176.02,
J200M5N1,5,15790,12095,3695,23.4009,2169.23,
J200M10N1,1,16855,14056,2799,16.6063,1734.34,
J200M10N1,2,16855,14056,2799,16.6063,1830.16,
J200M10N1,3,16855,14056,2799,16.6063,1718.97,
J200M10N1,4,16855,14056,2799,16.6063,1702.19,
J200M10N1,5,16855,14056,2799,16.6063,1721.43,
J200M20N1,1,17521,15505,2016,11.5062,2350.4,
J200M20N1,2,17521,15505,2016,11.5062,2358.25,
J200M20N1,3,17521,15505,2016,11.5062,2340.01,
J200M20N1,4,17521,15505,2016,11.5062,2314.2,
J200M20N1,5,17521,15505,2016,11.5062,2412.38,
J500M5N1,1,38991,31427,7564,19.3993,5169.63,
J500M5N1,2,38991,31427,7564,19.3993,5183.89,
J500M5N1,3,38991,31427,7564,19.3993,5178.43,
J500M5N1,4,38991,31427,7564,19.3993,5188.14,
J500M5N1,5,38991,31427,7564,19.3993,5209.27,
J500M10N1,1,41294,35341,5953,14.4161,5183.19,
J500M10N1,2,41294,35341,5953,14.4161,5196.45,
J500M10N1,3,41294,35341,5953,14.4161,5284.41,
J500M10N1,4,41294,35341,5953,14.4161,5395.57,
J500M10N1,5,41294,35341,5953,14.4161,5196.68,
J500M20N1,1,43146,39048,4098,9.49798,5000.72,
J500M20N1,2,43146,39052,4094,9.48871,5004.59,
J500M20N1,3,43146,39048,4098,9.49798,5000.9,
J500M20N1,4,43146,39048,4098,9.49798,5015.41,
J500M20N1,5,43146,39048,4098,9.49798,5018.58,
