instance,iteration,initial_cost,final_cost,improvement_abs,improvement_pct,time_ms,note
J20M5N1,1,1828,1447,381,20.8425,0.070031,branch=rls jp=0.001000
J20M5N1,2,1828,1447,381,20.8425,0.061551,branch=rls jp=0.001000
J20M5N1,3,1828,1447,381,20.8425,0.058834,branch=rls jp=0.001000
J20M5N1,4,1828,1447,381,20.8425,0.057279,branch=rls jp=0.001000
J20M5N1,5,1828,1447,381,20.8425,0.05772,branch=rls jp=0.001000
J20M10N1,1,2140,1746,394,18.4112,0.063113,branch=rls jp=0.001000
J20M10N1,2,2140,1746,394,18.4112,0.058645,branch=rls jp=0.001000
J20M10N1,3,2140,1746,394,18.4112,0.05382,branch=rls jp=0.001000
J20M10N1,4,2140,1746,394,18.4112,0.052981,branch=rls jp=0.001000
J20M10N1,5,2140,1746,394,18.4112,0.05123,branch=rls jp=0.001000
J20M20N1,1,2974,2511,463,15.5683,0.097054,branch=rls jp=0.001000
J20M20N1,2,2974,2511,463,15.5683,0.092509,branch=rls jp=0.001000
J20M20N1,3,2974,2511,463,15.5683,0.090869,branch=rls jp=0.001000
J20M20N1,4,2974,2511,463,15.5683,0.088962,branch=rls jp=0.001000
J20M20N1,5,2974,2511,463,15.5683,0.095472,branch=rls jp=0.001000
J50M5N1,1,3975,3221,754,18.9686,0.54501,branch=rls jp=0.001000
J50M5N1,2,3975,3221,754,18.9686,0.379761,branch=rls jp=0.001000
J50M5N1,3,3975,3221,754,18.9686,0.448373,branch=rls jp=0.001000
J50M5N1,4,3975,3221,754,18.9686,0.453765,branch=rls jp=0.001000
J50M5N1,5,3975,3221,754,18.9686,0.381925,branch=rls jp=0.001000
J50M10N1,1,4711,3818,893,18.9556,0.907011,branch=rls jp=0.001000
J50M10N1,2,4711,3818,893,18.9556,0.902374,branch=rls jp=0.001000
J50M10N1,3,4711,3818,893,18.9556,0.901968,branch=rls jp=0.001000
J50M10N1,4,4711,3818,893,18.9556,0.902169,branch=rls jp=0.001000
