instance,iteration,initial_cost,final_cost,improvement_abs,improvement_pct,time_ms,note
J20M5N1,1,1828,1485,343,18.7637,0.022017,
J20M5N1,2,1828,1485,343,18.7637,0.019505,
J20M5N1,3,1828,1485,343,18.7637,0.019018,
J20M5N1,4,1828,1485,343,18.7637,0.018781,
J20M5N1,5,1828,1485,343,18.7637,0.018797,
J20M10N1,1,2140,1722,418,19.5327,0.055229,
J20M10N1,2,2140,1722,418,19.5327,0.051677,
J20M10N1,3,2140,1722,418,19.5327,0.090685,
J20M10N1,4,2140,1722,418,19.5327,0.065774,
J20M10N1,5,2140,1722,418,19.5327,0.066058,
J20M20N1,1,2974,2537,437,14.694,0.15284,
J20M20N1,2,2974,2537,437,14.694,0.161697,
J20M20N1,3,2974,2537,437,14.694,0.155778,
J20M20N1,4,2974,2537,437,14.694,0.155605,
J20M20N1,5,2974,2537,437,14.694,0.155422,
J50M5N1,1,3975,3276,699,17.5849,0.446809,
J50M5N1,2,3975,3276,699,17.5849,0.437018,
J50M5N1,3,3975,3276,699,17.5849,0.417741,
J50M5N1,4,3975,3276,699,17.5849,0.412229,
J50M5N1,5,3975,3276,699,17.5849,0.336582,
J50M10N1,1,4711,3870,841,17.8518,0.523484,
J50M10N1,2,4711,3870,841,17.8518,0.427666,
J50M10N1,3,4711,3870,841,17.8518,0.420179,
J50M10N1,4,4711,3870,841,17.8518,0.400752,
J50M10N1,5,4711,3870,841,17.8518,0.445677,
J50M20N1,1,5504,4785,719,13.0632,1.01212,
J50M20N1,2,5504,4785,719,13.0632,1.01587,
J50M20N1,3,5504,4785,719,13.0632,1.00165,
J50M20N1,4,5504,4785,719,13.0632,0.999317,
J50M20N1,5,5504,4785,719,13.0632,1.00081,
J100M5N1,1,8059,6560,1499,18.6003,1.10738,
J100M5N1,2,8059,6560,1499,18.6003,1.10566,
J100M5N1,3,8059,6560,1499,18.6003,1.10654,
J100M5N1,4,8059,6560,1499,18.6003,1.1099,
J100M5N1,5,8059,6560,1499,18.6003,1.11354,
J100M10N1,1,8854,7530,1324,14.9537,2.20833,
J100M10N1,2,8854,7530,1324,14.9537,2.04925,
J100M10N1,3,8854,7530,1324,14.9537,1.3821,
J100M10N1,4,8854,7530,1324,14.9537,1.37357,
J100M10N1,5,8854,7530,1324,14.9537,1.37338,
J100M20N1,1,9596,8254,1342,13.985,2.98784,
J100M20N1,2,9596,8254,1342,13.985,2.99384,
J100M20N1,3,9596,8254,1342,13.985,3.29591,
J100M20N1,4,9596,8254,1342,13.985,3.41133,
J100M20N1,5,9596,8254,1342,13.985,3.05122,
J200M5N1,1,15790,12643,3147,19.9303,6.84765,
J200M5N1,2,15790,12643,3147,19.9303,6.91677,
J200M5N1,3,15790,12643,3147,19.9303,6.87452,
J200M5N1,4,15790,12643,3147,19.9303,6.84622,
J200M5N1,5,15790,12643,3147,19.9303,6.9574,
J200M10N1,1,16855,14096,2759,16.369,25.1422,
J200M10N1,2,16855,14096,2759,16.369,25.8976,
J200M10N1,3,16855,14096,2759,16.369,25.1953,
J200M10N1,4,16855,14096,2759,16.369,25.2382,
J200M10N1,5,16855,14096,2759,16.369,25.2176,
J200M20N1,1,17521,15422,2099,11.9799,36.472,
J200M20N1,2,17521,15422,2099,11.9799,30.7222,
J200M20N1,3,17521,15422,2099,11.9799,30.8145,
J200M20N1,4,17521,15422,2099,11.9799,30.871,
J200M20N1,5,17521,15422,2099,11.9799,30.7683,
J500M5N1,1,38991,31379,7612,19.5225,42.2279,
J500M5N1,2,38991,31379,7612,19.5225,42.7106,
J500M5N1,3,38991,31379,7612,19.5225,42.3668,
J500M5N1,4,38991,31379,7612,19.5225,42.0007,
J500M5N1,5,38991,31379,7612,19.5225,42.0005,
J500M10N1,1,41294,34911,6383,15.4575,118.872,
J500M10N1,2,41294,34911,6383,15.4575,119.47,
J500M10N1,3,41294,34911,6383,15.4575,119.609,
J500M10N1,4,41294,34911,6383,15.4575,119.351,
J500M10N1,5,41294,34911,6383,15.4575,123.137,
J500M20N1,1,43146,37989,5157,11.9524,229.635,
J500M20N1,2,43146,37989,5157,11.9524,230.2,
J500M20N1,3,43146,37989,5157,11.9524,229.855,
J500M20N1,4,43146,37989,5157,11.9524,228.904,
J500M20N1,5,43146,37989,5157,11.9524,236.639,
