instance,iteration,initial_cost,final_cost,improvement_abs,improvement_pct,time_ms,note
J20M5N1,1,1828,1485,343,18.7637,0.016791,
J20M5N1,2,1828,1485,343,18.7637,0.013468,
J20M5N1,3,1828,1485,343,18.7637,0.012279,
J20M5N1,4,1828,1485,343,18.7637,0.011935,
J20M5N1,5,1828,1485,343,18.7637,0.011857,
J20M10N1,1,2140,1783,357,16.6822,0.022567,
J20M10N1,2,2140,1783,357,16.6822,0.019108,
J20M10N1,3,2140,1783,357,16.6822,0.017707,
J20M10N1,4,2140,1783,357,16.6822,0.017286,
J20M10N1,5,2140,1783,357,16.6822,0.016943,
J20M20N1,1,2974,2545,429,14.425,0.063231,
J20M20N1,2,2974,2545,429,14.425,0.062063,
J20M20N1,3,2974,2545,429,14.425,0.060243,
J20M20N1,4,2974,2545,429,14.425,0.060392,
J20M20N1,5,2974,2545,429,14.425,0.060172,
J50M5N1,1,3975,3383,592,14.8931,0.174214,
J50M5N1,2,3975,3383,592,14.8931,0.119952,
J50M5N1,3,3975,3383,592,14.8931,0.11772,
J50M5N1,4,3975,3383,592,14.8931,0.118106,
J50M5N1,5,3975,3383,592,14.8931,0.113766,
J50M10N1,1,4711,4007,704,14.9437,0.215878,
J50M10N1,2,4711,4007,704,14.9437,0.139313,
J50M10N1,3,4711,4007,704,14.9437,0.117916,
J50M10N1,4,4711,4007,704,14.9437,0.130318,
J50M10N1,5,4711,4007,704,14.9437,0.261428,
J50M20N1,1,5504,4887,617,11.21,0.338534,
J50M20N1,2,5504,4887,617,11.21,0.328494,
J50M20N1,3,5504,4887,617,11.21,0.356104,
J50M20N1,4,5504,4887,617,11.21,0.326249,
J50M20N1,5,5504,4887,617,11.21,0.325164,
J100M5N1,1,8059,6673,1386,17.1982,0.313507,
J100M5N1,2,8059,6673,1386,17.1982,0.311225,
J100M5N1,3,8059,6673,1386,17.1982,0.312449,
J100M5N1,4,8059,6673,1386,17.1982,0.308084,
J100M5N1,5,8059,6673,1386,17.1982,0.307982,
J100M10N1,1,8854,7661,1193,13.4741,0.830203,
J100M10N1,2,8854,7661,1193,13.4741,0.767386,
J100M10N1,3,8854,7661,1193,13.4741,0.770171,
J100M10N1,4,8854,7661,1193,13.4741,0.773409,
J100M10N1,5,8854,7661,1193,13.4741,0.79346,
J100M20N1,1,9596,8423,1173,12.2238,0.805325,
J100M20N1,2,9596,8423,1173,12.2238,0.787276,
J100M20N1,3,9596,8423,1173,12.2238,0.788571,
J100M20N1,4,9596,8423,1173,12.2238,0.779209,
J100M20N1,5,9596,8423,1173,12.2238,0.787143,
J200M5N1,1,15790,13117,2673,16.9284,1.24353,
J200M5N1,2,15790,13117,2673,16.9284,1.23508,
J200M5N1,3,15790,13117,2673,16.9284,1.24277,
J200M5N1,4,15790,13117,2673,16.9284,1.24292,
J200M5N1,5,15790,13117,2673,16.9284,1.25009,
J200M10N1,1,16855,14649,2206,13.0881,1.91767,
J200M10N1,2,16855,14649,2206,13.0881,1.92533,
J200M10N1,3,16855,14649,2206,13.0881,1.97238,
J200M10N1,4,16855,14649,2206,13.0881,1.9265,
J200M10N1,5,16855,14649,2206,13.0881,1.92613,
J200M20N1,1,17521,15904,1617,9.22893,3.27946,
J200M20N1,2,17521,15904,1617,9.22893,3.27094,
J200M20N1,3,17521,15904,1617,9.22893,3.27659,
J200M20N1,4,17521,15904,1617,9.22893,3.26851,
J200M20N1,5,17521,15904,1617,9.22893,3.26846,
J500M5N1,1,38991,32045,6946,17.8144,8.07768,
J500M5N1,2,38991,32045,6946,17.8144,8.05284,
J500M5N1,3,38991,32045,6946,17.8144,8.07934,
J500M5N1,4,38991,32045,6946,17.8144,8.07691,
J500M5N1,5,38991,32045,6946,17.8144,8.07672,
J500M10N1,1,41294,36088,5206,12.6072,11.7585,
J500M10N1,2,41294,36088,5206,12.6072,11.8196,
J500M10N1,3,41294,36088,5206,12.6072,11.7643,
J500M10N1,4,41294,36088,5206,12.6072,11.7172,
J500M10N1,5,41294,36088,5206,12.6072,11.6825,
J500M20N1,1,43146,39253,3893,9.02285,22.3744,
J500M20N1,2,43146,39253,3893,9.02285,21.5598,
J500M20N1,3,43146,39253,3893,9.02285,20.8992,
J500M20N1,4,43146,39253,3893,9.02285,21.9059,
J500M20N1,5,43146,39253,3893,9.02285,21.1352,
