instance,iteration,initial_cost,final_cost,improvement_abs,improvement_pct,time_ms,note
J20M5N1,1,1828,1401,427,23.3589,0.08174,
J20M5N1,2,1828,1401,427,23.3589,0.098616,
J20M5N1,3,1828,1401,427,23.3589,0.072922,
J20M5N1,4,1828,1401,427,23.3589,0.070513,
J20M5N1,5,1828,1401,427,23.3589,0.069157,
J20M10N1,1,2140,1706,434,20.2804,0.135039,
J20M10N1,2,2140,1706,434,20.2804,0.118954,
J20M10N1,3,2140,1706,434,20.2804,0.111677,
J20M10N1,4,2140,1706,434,20.2804,0.112095,
J20M10N1,5,2140,1706,434,20.2804,0.109512,
J20M20N1,1,2974,2537,437,14.694,0.166194,
J20M20N1,2,2974,2537,437,14.694,0.156019,
J20M20N1,3,2974,2537,437,14.694,0.166348,
J20M20N1,4,2974,2537,437,14.694,0.154197,
J20M20N1,5,2974,2537,437,14.694,0.152217,
J50M5N1,1,3975,3170,805,20.2516,0.812244,
J50M5N1,2,3975,3170,805,20.2516,0.790692,
J50M5N1,3,3975,3170,805,20.2516,0.729262,
J50M5N1,4,3975,3170,805,20.2516,0.761113,
J50M5N1,5,3975,3170,805,20.2516,0.712017,
J50M10N1,1,4711,3838,873,18.5311,0.656125,
J50M10N1,2,4711,3838,873,18.5311,0.64664,
J50M10N1,3,4711,3838,873,18.5311,0.676454,
J50M10N1,4,4711,3838,873,18.5311,0.678269,
J50M10N1,5,4711,3838,873,18.5311,0.928016,
J50M20N1,1,5504,4859,645,11.7188,1.62787,
J50M20N1,2,5504,4859,645,11.7188,1.52356,
J50M20N1,3,5504,4859,645,11.7188,1.46201,
J50M20N1,4,5504,4859,645,11.7188,1.42088,
J50M20N1,5,5504,4859,645,11.7188,1.44443,
J100M5N1,1,8059,6517,1542,19.1339,2.04743,
J100M5N1,2,8059,6517,1542,19.1339,2.02787,
J100M5N1,3,8059,6517,1542,19.1339,2.03206,
J100M5N1,4,8059,6517,1542,19.1339,2.08479,
J100M5N1,5,8059,6517,1542,19.1339,2.02508,
J100M10N1,1,8854,7504,1350,15.2473,3.39157,
J100M10N1,2,8854,7504,1350,15.2473,3.39271,
J100M10N1,3,8854,7504,1350,15.2473,3.38292,
J100M10N1,4,8854,7504,1350,15.2473,3.27853,
J100M10N1,5,8854,7504,1350,15.2473,3.18969,
J100M20N1,1,9596,8062,1534,15.9858,9.09214,
J100M20N1,2,9596,8062,1534,15.9858,9.12957,
J100M20N1,3,9596,8062,1534,15.9858,9.07246,
J100M20N1,4,9596,8062,1534,15.9858,9.09195,
J100M20N1,5,9596,8062,1534,15.9858,9.05497,
J200M5N1,1,15790,12609,3181,20.1457,13.0176,
J200M5N1,2,15790,12609,3181,20.1457,12.9117,
J200M5N1,3,15790,12609,3181,20.1457,12.933,
J200M5N1,4,15790,12609,3181,20.1457,13.0235,
J200M5N1,5,15790,12609,3181,20.1457,12.9378,
J200M10N1,1,16855,14290,2565,15.218,9.98251,
J200M10N1,2,16855,14290,2565,15.218,10.0549,
J200M10N1,3,16855,14290,2565,15.218,9.97161,
J200M10N1,4,16855,14290,2565,15.218,9.97604,
J200M10N1,5,16855,14290,2565,15.218,9.9773,
J200M20N1,1,17521,15489,2032,11.5975,24.6817,
J200M20N1,2,17521,15489,2032,11.5975,24.8101,
J200M20N1,3,17521,15489,2032,11.5975,24.8616,
J200M20N1,4,17521,15489,2032,11.5975,24.6841,
J200M20N1,5,17521,15489,2032,11.5975,24.5844,
J500M5N1,1,38991,31305,7686,19.7122,61.2194,
J500M5N1,2,38991,31305,7686,19.7122,62.4225,
J500M5N1,3,38991,31305,7686,19.7122,60.3445,
J500M5N1,4,38991,31305,7686,19.7122,61.0153,
J500M5N1,5,38991,31305,7686,19.7122,60.7389,
J500M10N1,1,41294,34769,6525,15.8013,351.881,
J500M10N1,2,41294,34769,6525,15.8013,302.08,
J500M10N1,3,41294,34769,6525,15.8013,289.396,
J500M10N1,4,41294,34769,6525,15.8013,291.451,
J500M10N1,5,41294,34769,6525,15.8013,291.024,
J500M20N1,1,43146,38073,5073,11.7578,201.674,
J500M20N1,2,43146,38073,5073,11.7578,198.396,
J500M20N1,3,43146,38073,5073,11.7578,195.933,
J500M20N1,4,43146,38073,5073,11.7578,196.512,
J500M20N1,5,43146,38073,5073,11.7578,197.8,
