instance,iteration,initial_cost,final_cost,improvement_abs,improvement_pct,time_ms,note
J20M5N1,1,1828,1447,381,20.8425,0.070923,
J20M5N1,2,1828,1447,381,20.8425,0.068017,
J20M5N1,3,1828,1447,381,20.8425,0.058975,
J20M5N1,4,1828,1447,381,20.8425,0.040615,
J20M5N1,5,1828,1447,381,20.8425,0.038743,
J20M10N1,1,2140,1746,394,18.4112,0.06803,
J20M10N1,2,2140,1746,394,18.4112,0.057571,
J20M10N1,3,2140,1746,394,18.4112,0.054541,
J20M10N1,4,2140,1746,394,18.4112,0.138779,
J20M10N1,5,2140,1746,394,18.4112,0.051409,
J20M20N1,1,2974,2511,463,15.5683,0.18038,
J20M20N1,2,2974,2511,463,15.5683,0.190249,
J20M20N1,3,2974,2511,463,15.5683,0.164344,
J20M20N1,4,2974,2511,463,15.5683,0.163185,
J20M20N1,5,2974,2511,463,15.5683,0.162017,
J50M5N1,1,3975,3221,754,18.9686,0.413547,
J50M5N1,2,3975,3221,754,18.9686,0.510136,
J50M5N1,3,3975,3221,754,18.9686,0.557073,
J50M5N1,4,3975,3221,754,18.9686,0.577827,
J50M5N1,5,3975,3221,754,18.9686,0.566634,
J50M10N1,1,4711,3818,893,18.9556,1.43709,
J50M10N1,2,4711,3818,893,18.9556,1.56708,
J50M10N1,3,4711,3818,893,18.9556,1.4653,
J50M10N1,4,4711,3818,893,18.9556,1.55418,
J50M10N1,5,4711,3818,893,18.9556,0.968312,
J50M20N1,1,5504,4836,668,12.1366,0.88144,
J50M20N1,2,5504,4836,668,12.1366,0.848495,
J50M20N1,3,5504,4836,668,12.1366,0.868871,
J50M20N1,4,5504,4836,668,12.1366,1.0436,
J50M20N1,5,5504,4836,668,12.1366,0.873034,
J100M5N1,1,8059,6551,1508,18.712,2.01135,
J100M5N1,2,8059,6551,1508,18.712,2.17872,
J100M5N1,3,8059,6551,1508,18.712,2.7344,
J100M5N1,4,8059,6551,1508,18.712,2.35158,
J100M5N1,5,8059,6551,1508,18.712,1.9662,
J100M10N1,1,8854,7504,1350,15.2473,5.76511,
J100M10N1,2,8854,7504,1350,15.2473,5.8254,
J100M10N1,3,8854,7504,1350,15.2473,5.45941,
J100M10N1,4,8854,7504,1350,15.2473,2.6843,
J100M10N1,5,8854,7504,1350,15.2473,2.70817,
J100M20N1,1,9596,8270,1326,13.8183,6.04305,
J100M20N1,2,9596,8270,1326,13.8183,5.87741,
J100M20N1,3,9596,8270,1326,13.8183,5.76938,
J100M20N1,4,9596,8270,1326,13.8183,5.71298,
J100M20N1,5,9596,8270,1326,13.8183,5.70755,
J200M5N1,1,15790,12617,3173,20.095,10.1139,
J200M5N1,2,15790,12617,3173,20.095,9.66111,
J200M5N1,3,15790,12617,3173,20.095,9.63508,
J200M5N1,4,15790,12617,3173,20.095,9.64964,
J200M5N1,5,15790,12617,3173,20.095,9.87513,
J200M10N1,1,16855,14168,2687,15.9419,15.94,
J200M10N1,2,16855,14168,2687,15.9419,15.4359,
J200M10N1,3,16855,14168,2687,15.9419,15.3589,
J200M10N1,4,16855,14168,2687,15.9419,15.3801,
J200M10N1,5,16855,14168,2687,15.9419,15.5486,
J200M20N1,1,17521,15407,2114,12.0655,34.1167,
J200M20N1,2,17521,15407,2114,12.0655,31.0971,
J200M20N1,3,17521,15407,2114,12.0655,31.0879,
J200M20N1,4,17521,15407,2114,12.0655,31.1126,
J200M20N1,5,17521,15407,2114,12.0655,30.9738,
J500M5N1,1,38991,30613,8378,21.487,140.799,
J500M5N1,2,38991,30613,8378,21.487,138.858,
J500M5N1,3,38991,30613,8378,21.487,140.01,
J500M5N1,4,38991,30613,8378,21.487,137.871,
J500M5N1,5,38991,30613,8378,21.487,138.686,
J500M10N1,1,41294,34709,6585,15.9466,127.774,
J500M10N1,2,41294,34709,6585,15.9466,124.561,
J500M10N1,3,41294,34709,6585,15.9466,124.631,
J500M10N1,4,41294,34709,6585,15.9466,124.81,
J500M10N1,5,41294,34709,6585,15.9466,124.597,
J500M20N1,1,43146,37851,5295,12.2723,264.282,
J500M20N1,2,43146,37851,5295,12.2723,264.818,
J500M20N1,3,43146,37851,5295,12.2723,262.87,
J500M20N1,4,43146,37851,5295,12.2723,261.834,
J500M20N1,5,43146,37851,5295,12.2723,263.063,
