instance,iteration,initial_cost,final_cost,improvement_abs,improvement_pct,time_ms,note
J20M5N1,1,1828,1466,362,19.8031,0.04528,passes=3 time_limit_ms=100.000000
J20M5N1,2,1828,1466,362,19.8031,0.046361,passes=3 time_limit_ms=100.000000
J20M5N1,3,1828,1466,362,19.8031,0.054941,passes=3 time_limit_ms=100.000000
J20M5N1,4,1828,1466,362,19.8031,0.037495,passes=3 time_limit_ms=100.000000
J20M5N1,5,1828,1466,362,19.8031,0.03695,passes=3 time_limit_ms=100.000000
J20M10N1,1,2140,1727,413,19.2991,0.107502,passes=5 time_limit_ms=200.000000
J20M10N1,2,2140,1727,413,19.2991,0.104337,passes=5 time_limit_ms=200.000000
J20M10N1,3,2140,1727,413,19.2991,0.124167,passes=5 time_limit_ms=200.000000
J20M10N1,4,2140,1727,413,19.2991,0.099792,passes=5 time_limit_ms=200.000000
J20M10N1,5,2140,1727,413,19.2991,0.121393,passes=5 time_limit_ms=200.000000
J20M20N1,1,2974,2509,465,15.6355,0.101448,passes=3 time_limit_ms=400.000000
J20M20N1,2,2974,2509,465,15.6355,0.098737,passes=3 time_limit_ms=400.000000
J20M20N1,3,2974,2509,465,15.6355,0.09764,passes=3 time_limit_ms=400.000000
J20M20N1,4,2974,2509,465,15.6355,0.111724,passes=3 time_limit_ms=400.000000
J20M20N1,5,2974,2509,465,15.6355,0.09667,passes=3 time_limit_ms=400.000000
J50M5N1,1,3975,3200,775,19.4969,0.915692,passes=8 time_limit_ms=250.000000
J50M5N1,2,3975,3200,775,19.4969,0.743969,passes=8 time_limit_ms=250.000000
J50M5N1,3,3975,3200,775,19.4969,0.683704,passes=8 time_limit_ms=250.000000
J50M5N1,4,3975,3200,775,19.4969,0.651729,passes=8 time_limit_ms=250.000000
J50M5N1,5,3975,3200,775,19.4969,0.631567,passes=8 time_limit_ms=250.000000
J50M10N1,1,4711,3897,814,17.2787,0.493058,passes=4 time_limit_ms=500.000000
J50M10N1,2,4711,3897,814,17.2787,0.49574,passes=4 time_limit_ms=500.000000
J50M10N1,3,4711,3897,814,17.2787,0.490861,passes=4 time_limit_ms=500.000000
J50M10N1,4,4711,3897,814,17.2787,0.495385,passes=4 time_limit_ms=500.000000
J50M10N1,5,4711,3897,814,17.2787,0.490882,passes=4 time_limit_ms=500.000000
J50M20N1,1,5504,4794,710,12.8997,1.3622,passes=6 time_limit_ms=1000.000000
J50M20N1,2,5504,4794,710,12.8997,1.43475,passes=6 time_limit_ms=1000.000000
J50M20N1,3,5504,4794,710,12.8997,1.41178,passes=6 time_limit_ms=1000.000000
J50M20N1,4,5504,4794,710,12.8997,1.38002,passes=6 time_limit_ms=1000.000000
J50M20N1,5,5504,4794,710,12.8997,1.32562,passes=6 time_limit_ms=1000.000000
J100M5N1,1,8059,6507,1552,19.258,1.52108,passes=5 time_limit_ms=500.000000
J100M5N1,2,8059,6507,1552,19.258,1.52675,passes=5 time_limit_ms=500.000000
J100M5N1,3,8059,6507,1552,19.258,1.53113,passes=5 time_limit_ms=500.000000
J100M5N1,4,8059,6507,1552,19.258,1.51864,passes=5 time_limit_ms=500.000000
J100M5N1,5,8059,6507,1552,19.258,1.51976,passes=5 time_limit_ms=500.000000
J100M10N1,1,8854,7462,1392,15.7217,3.45389,passes=7 time_limit_ms=1000.000000
J100M10N1,2,8854,7462,1392,15.7217,3.21052,passes=7 time_limit_ms=1000.000000
J100M10N1,3,8854,7462,1392,15.7217,3.21532,passes=7 time_limit_ms=1000.000000
J100M10N1,4,8854,7462,1392,15.7217,3.21061,passes=7 time_limit_ms=1000.000000
J100M10N1,5,8854,7462,1392,15.7217,3.21417,passes=7 time_limit_ms=1000.000000
J100M20N1,1,9596,8123,1473,15.3501,3.94721,passes=5 time_limit_ms=2000.000000
J100M20N1,2,9596,8123,1473,15.3501,3.93382,passes=5 time_limit_ms=2000.000000
J100M20N1,3,9596,8123,1473,15.3501,3.94794,passes=5 time_limit_ms=2000.000000
J100M20N1,4,9596,8123,1473,15.3501,3.93948,passes=5 time_limit_ms=2000.000000
J100M20N1,5,9596,8123,1473,15.3501,4.07917,passes=5 time_limit_ms=2000.000000
J200M5N1,1,15790,12541,3249,20.5763,9.4291,passes=8 time_limit_ms=1000.000000
J200M5N1,2,15790,12541,3249,20.5763,9.47557,passes=8 time_limit_ms=1000.000000
J200M5N1,3,15790,12541,3249,20.5763,9.72474,passes=8 time_limit_ms=1000.000000
J200M5N1,4,15790,12541,3249,20.5763,9.48334,passes=8 time_limit_ms=1000.000000
J200M5N1,5,15790,12541,3249,20.5763,9.46165,passes=8 time_limit_ms=1000.000000
J200M10N1,1,16855,14123,2732,16.2088,22.505,passes=12 time_limit_ms=2000.000000
J200M10N1,2,16855,14123,2732,16.2088,22.9371,passes=12 time_limit_ms=2000.000000
J200M10N1,3,16855,14123,2732,16.2088,22.553,passes=12 time_limit_ms=2000.000000
J200M10N1,4,16855,14123,2732,16.2088,22.9132,passes=12 time_limit_ms=2000.000000
J200M10N1,5,16855,14123,2732,16.2088,22.5359,passes=12 time_limit_ms=2000.000000
J200M20N1,1,17521,15591,1930,11.0154,16.1327,passes=5 time_limit_ms=4000.000000
J200M20N1,2,17521,15591,1930,11.0154,16.4735,passes=5 time_limit_ms=4000.000000
J200M20N1,3,17521,15591,1930,11.0154,16.1084,passes=5 time_limit_ms=4000.000000
J200M20N1,4,17521,15591,1930,11.0154,17.9569,passes=5 time_limit_ms=4000.000000
J200M20N1,5,17521,15591,1930,11.0154,16.2134,passes=5 time_limit_ms=4000.000000
J500M5N1,1,38991,31257,7734,19.8353,50.6236,passes=7 time_limit_ms=2500.000000
J500M5N1,2,38991,31257,7734,19.8353,50.6851,passes=7 time_limit_ms=2500.000000
J500M5N1,3,38991,31257,7734,19.8353,50.4411,passes=7 time_limit_ms=2500.000000
J500M5N1,4,38991,31257,7734,19.8353,50.2607,passes=7 time_limit_ms=2500.000000
J500M5N1,5,38991,31257,7734,19.8353,50.8178,passes=7 time_limit_ms=2500.000000
J500M10N1,1,41294,34610,6684,16.1864,211.349,passes=18 time_limit_ms=5000.000000
J500M10N1,2,41294,34610,6684,16.1864,209.17,passes=18 time_limit_ms=5000.000000
J500M10N1,3,41294,34610,6684,16.1864,209.402,passes=18 time_limit_ms=5000.000000
J500M10N1,4,41294,34610,6684,16.1864,214.198,passes=18 time_limit_ms=5000.000000
J500M10N1,5,41294,34610,6684,16.1864,211.488,passes=18 time_limit_ms=5000.000000
J500M20N1,1,43146,37645,5501,12.7497,258.745,passes=13 time_limit_ms=10000.000000
J500M20N1,2,43146,37645,5501,12.7497,261.78,passes=13 time_limit_ms=10000.000000
J500M20N1,3,43146,37645,5501,12.7497,259.753,passes=13 time_limit_ms=10000.000000
J500M20N1,4,43146,37645,5501,12.7497,258.892,passes=13 time_limit_ms=10000.000000
J500M20N1,5,43146,37645,5501,12.7497,258.825,passes=13 time_limit_ms=10000.000000
