instance,iteration,initial_cost,final_cost,improvement_abs,improvement_pct,time_ms,note
J20M5N1,1,1828,1407,421,23.0306,0.161546,passes=5 time_limit_ms=100.000000
J20M5N1,2,1828,1407,421,23.0306,0.100689,passes=5 time_limit_ms=100.000000
J20M5N1,3,1828,1407,421,23.0306,0.100334,passes=5 time_limit_ms=100.000000
J20M5N1,4,1828,1407,421,23.0306,0.100083,passes=5 time_limit_ms=100.000000
J20M5N1,5,1828,1407,421,23.0306,0.243205,passes=5 time_limit_ms=100.000000
J20M10N1,1,2140,1834,306,14.2991,0.140994,passes=4 time_limit_ms=200.000000
J20M10N1,2,2140,1834,306,14.2991,0.158183,passes=4 time_limit_ms=200.000000
J20M10N1,3,2140,1834,306,14.2991,0.206226,passes=4 time_limit_ms=200.000000
J20M10N1,4,2140,1834,306,14.2991,0.138385,passes=4 time_limit_ms=200.000000
J20M10N1,5,2140,1834,306,14.2991,0.155273,passes=4 time_limit_ms=200.000000
J20M20N1,1,2974,2524,450,15.1311,0.399851,passes=6 time_limit_ms=400.000000
J20M20N1,2,2974,2524,450,15.1311,0.392254,passes=6 time_limit_ms=400.000000
J20M20N1,3,2974,2524,450,15.1311,0.392362,passes=6 time_limit_ms=400.000000
J20M20N1,4,2974,2524,450,15.1311,0.396212,passes=6 time_limit_ms=400.000000
J20M20N1,5,2974,2524,450,15.1311,0.392257,passes=6 time_limit_ms=400.000000
J50M5N1,1,3975,3186,789,19.8491,2.8428,passes=10 time_limit_ms=250.000000
J50M5N1,2,3975,3186,789,19.8491,2.87083,passes=10 time_limit_ms=250.000000
J50M5N1,3,3975,3186,789,19.8491,3.71862,passes=10 time_limit_ms=250.000000
J50M5N1,4,3975,3186,789,19.8491,3.41064,passes=10 time_limit_ms=250.000000
J50M5N1,5,3975,3186,789,19.8491,2.86772,passes=10 time_limit_ms=250.000000
J50M10N1,1,4711,3812,899,19.083,6.25911,passes=12 time_limit_ms=500.000000
J50M10N1,2,4711,3812,899,19.083,6.31561,passes=12 time_limit_ms=500.000000
J50M10N1,3,4711,3812,899,19.083,6.25866,passes=12 time_limit_ms=500.000000
J50M10N1,4,4711,3812,899,19.083,6.4402,passes=12 time_limit_ms=500.000000
J50M10N1,5,4711,3812,899,19.083,6.34602,passes=12 time_limit_ms=500.000000
J50M20N1,1,5504,4784,720,13.0814,4.13876,passes=4 time_limit_ms=1000.000000
J50M20N1,2,5504,4784,720,13.0814,4.06014,passes=4 time_limit_ms=1000.000000
J50M20N1,3,5504,4784,720,13.0814,4.05905,passes=4 time_limit_ms=1000.000000
J50M20N1,4,5504,4784,720,13.0814,4.05889,passes=4 time_limit_ms=1000.000000
J50M20N1,5,5504,4784,720,13.0814,4.22992,passes=4 time_limit_ms=1000.000000
J100M5N1,1,8059,6479,1580,19.6054,21.7176,passes=10 time_limit_ms=500.000000
J100M5N1,2,8059,6479,1580,19.6054,21.6973,passes=10 time_limit_ms=500.000000
J100M5N1,3,8059,6479,1580,19.6054,21.7121,passes=10 time_limit_ms=500.000000
J100M5N1,4,8059,6479,1580,19.6054,21.6852,passes=10 time_limit_ms=500.000000
J100M5N1,5,8059,6479,1580,19.6054,21.6796,passes=10 time_limit_ms=500.000000
J100M10N1,1,8854,7328,1526,17.2351,36.1226,passes=9 time_limit_ms=1000.000000
J100M10N1,2,8854,7328,1526,17.2351,36.0564,passes=9 time_limit_ms=1000.000000
J100M10N1,3,8854,7328,1526,17.2351,36.2379,passes=9 time_limit_ms=1000.000000
J100M10N1,4,8854,7328,1526,17.2351,36.1043,passes=9 time_limit_ms=1000.000000
J100M10N1,5,8854,7328,1526,17.2351,36.5653,passes=9 time_limit_ms=1000.000000
J100M20N1,1,9596,8373,1223,12.7449,57.7951,passes=7 time_limit_ms=2000.000000
J100M20N1,2,9596,8373,1223,12.7449,57.9336,passes=7 time_limit_ms=2000.000000
J100M20N1,3,9596,8373,1223,12.7449,57.6196,passes=7 time_limit_ms=2000.000000
J100M20N1,4,9596,8373,1223,12.7449,57.7764,passes=7 time_limit_ms=2000.000000
J100M20N1,5,9596,8373,1223,12.7449,57.717,passes=7 time_limit_ms=2000.000000
J200M5N1,1,15790,12210,3580,22.6726,192.446,passes=11 time_limit_ms=1000.000000
J200M5N1,2,15790,12210,3580,22.6726,191.199,passes=11 time_limit_ms=1000.000000
J200M5N1,3,15790,12210,3580,22.6726,190.416,passes=11 time_limit_ms=1000.000000
J200M5N1,4,15790,12210,3580,22.6726,190.898,passes=11 time_limit_ms=1000.000000
J200M5N1,5,15790,12210,3580,22.6726,190.161,passes=11 time_limit_ms=1000.000000
J200M10N1,1,16855,13978,2877,17.0691,460.599,passes=12 time_limit_ms=2000.000000
J200M10N1,2,16855,13978,2877,17.0691,421.32,passes=12 time_limit_ms=2000.000000
J200M10N1,3,16855,13978,2877,17.0691,431.699,passes=12 time_limit_ms=2000.000000
J200M10N1,4,16855,13978,2877,17.0691,643.641,passes=12 time_limit_ms=2000.000000
J200M10N1,5,16855,13978,2877,17.0691,430.175,passes=12 time_limit_ms=2000.000000
J200M20N1,1,17521,15492,2029,11.5804,798.059,passes=11 time_limit_ms=4000.000000
J200M20N1,2,17521,15492,2029,11.5804,801.082,passes=11 time_limit_ms=4000.000000
J200M20N1,3,17521,15492,2029,11.5804,817.544,passes=11 time_limit_ms=4000.000000
J200M20N1,4,17521,15492,2029,11.5804,796.698,passes=11 time_limit_ms=4000.000000
J200M20N1,5,17521,15492,2029,11.5804,797.394,passes=11 time_limit_ms=4000.000000
J500M5N1,1,38991,29562,9429,24.1825,2782.82,passes=9 time_limit_ms=2500.000000
J500M5N1,2,38991,29572,9419,24.1569,2501.95,passes=8 time_limit_ms=2500.000000
