instance,iteration,initial_cost,final_cost,improvement_abs,improvement_pct,time_ms,note
J20M5N1,1,1828,1485,343,18.7637,0.022571,
J20M5N1,2,1828,1485,343,18.7637,0.019344,
J20M5N1,3,1828,1485,343,18.7637,0.017582,
J20M5N1,4,1828,1485,343,18.7637,0.017401,
J20M5N1,5,1828,1485,343,18.7637,0.017931,
J20M10N1,1,2140,1783,357,16.6822,0.02098,
J20M10N1,2,2140,1783,357,16.6822,0.018763,
J20M10N1,3,2140,1783,357,16.6822,0.017807,
J20M10N1,4,2140,1783,357,16.6822,0.017521,
J20M10N1,5,2140,1783,357,16.6822,0.017285,
J20M20N1,1,2974,2545,429,14.425,0.036007,
J20M20N1,2,2974,2545,429,14.425,0.032754,
J20M20N1,3,2974,2545,429,14.425,0.031143,
J20M20N1,4,2974,2545,429,14.425,0.031048,
J20M20N1,5,2974,2545,429,14.425,0.031057,
J50M5N1,1,3975,3383,592,14.8931,0.105675,
J50M5N1,2,3975,3383,592,14.8931,0.084154,
J50M5N1,3,3975,3383,592,14.8931,0.082139,
J50M5N1,4,3975,3383,592,14.8931,0.080358,
J50M5N1,5,3975,3383,592,14.8931,0.078978,
J50M10N1,1,4711,4007,704,14.9437,0.124659,
J50M10N1,2,4711,4007,704,14.9437,0.121445,
J50M10N1,3,4711,4007,704,14.9437,0.118558,
J50M10N1,4,4711,4007,704,14.9437,0.117364,
J50M10N1,5,4711,4007,704,14.9437,0.116569,
J50M20N1,1,5504,4887,617,11.21,0.204649,
J50M20N1,2,5504,4887,617,11.21,0.20742,
J50M20N1,3,5504,4887,617,11.21,0.201452,
J50M20N1,4,5504,4887,617,11.21,0.200083,
J50M20N1,5,5504,4887,617,11.21,0.199843,
J100M5N1,1,8059,6673,1386,17.1982,0.320748,
J100M5N1,2,8059,6673,1386,17.1982,0.320077,
J100M5N1,3,8059,6673,1386,17.1982,0.32632,
J100M5N1,4,8059,6673,1386,17.1982,0.317585,
J100M5N1,5,8059,6673,1386,17.1982,0.317341,
J100M10N1,1,8854,7661,1193,13.4741,0.485359,
J100M10N1,2,8854,7661,1193,13.4741,0.481802,
J100M10N1,3,8854,7661,1193,13.4741,0.484679,
J100M10N1,4,8854,7661,1193,13.4741,0.479193,
J100M10N1,5,8854,7661,1193,13.4741,0.485624,
J100M20N1,1,9596,8423,1173,12.2238,0.79606,
J100M20N1,2,9596,8423,1173,12.2238,0.797657,
J100M20N1,3,9596,8423,1173,12.2238,0.795062,
J100M20N1,4,9596,8423,1173,12.2238,0.798622,
J100M20N1,5,9596,8423,1173,12.2238,0.792213,
J200M5N1,1,15790,13117,2673,16.9284,1.26026,
J200M5N1,2,15790,13117,2673,16.9284,1.25647,
J200M5N1,3,15790,13117,2673,16.9284,1.2648,
J200M5N1,4,15790,13117,2673,16.9284,1.25501,
J200M5N1,5,15790,13117,2673,16.9284,1.25735,
J200M10N1,1,16855,14649,2206,13.0881,2.74348,
J200M10N1,2,16855,14649,2206,13.0881,2.19515,
J200M10N1,3,16855,14649,2206,13.0881,1.95936,
J200M10N1,4,16855,14649,2206,13.0881,2.02425,
J200M10N1,5,16855,14649,2206,13.0881,1.95253,
J200M20N1,1,17521,15904,1617,9.22893,3.41152,
J200M20N1,2,17521,15904,1617,9.22893,3.32682,
J200M20N1,3,17521,15904,1617,9.22893,3.54845,
J200M20N1,4,17521,15904,1617,9.22893,3.44393,
J200M20N1,5,17521,15904,1617,9.22893,3.38307,
J500M5N1,1,38991,32045,6946,17.8144,7.55974,
J500M5N1,2,38991,32045,6946,17.8144,7.54538,
J500M5N1,3,38991,32045,6946,17.8144,7.55919,
J500M5N1,4,38991,32045,6946,17.8144,7.76809,
J500M5N1,5,38991,32045,6946,17.8144,7.59729,
J500M10N1,1,41294,36088,5206,12.6072,11.7776,
J500M10N1,2,41294,36088,5206,12.6072,11.9861,
J500M10N1,3,41294,36088,5206,12.6072,11.9273,
J500M10N1,4,41294,36088,5206,12.6072,11.7273,
J500M10N1,5,41294,36088,5206,12.6072,11.7758,
J500M20N1,1,43146,39253,3893,9.02285,20.7175,
J500M20N1,2,43146,39253,3893,9.02285,20.6737,
J500M20N1,3,43146,39253,3893,9.02285,20.8731,
J500M20N1,4,43146,39253,3893,9.02285,20.6502,
J500M20N1,5,43146,39253,3893,9.02285,20.6784,
