instance,iteration,initial_cost,final_cost,improvement_abs,improvement_pct,time_ms,note
J20M5N1,1,1828,1518,310,16.9584,0.038475,
J20M5N1,2,1828,1518,310,16.9584,0.03898,
J20M5N1,3,1828,1518,310,16.9584,0.039895,
J20M5N1,4,1828,1518,310,16.9584,0.037238,
J20M5N1,5,1828,1518,310,16.9584,0.037843,
J20M10N1,1,2140,1871,269,12.5701,0.044618,
J20M10N1,2,2140,1871,269,12.5701,0.062577,
J20M10N1,3,2140,1871,269,12.5701,0.043964,
J20M10N1,4,2140,1871,269,12.5701,0.043927,
J20M10N1,5,2140,1871,269,12.5701,0.043712,
J20M20N1,1,2974,2694,280,9.41493,0.08177,
J20M20N1,2,2974,2694,280,9.41493,0.081441,
J20M20N1,3,2974,2694,280,9.41493,0.081291,
J20M20N1,4,2974,2694,280,9.41493,0.081395,
J20M20N1,5,2974,2694,280,9.41493,0.08127,
J50M5N1,1,3975,3403,572,14.3899,0.436066,
J50M5N1,2,3975,3403,572,14.3899,0.386908,
J50M5N1,3,3975,3403,572,14.3899,0.395898,
J50M5N1,4,3975,3403,572,14.3899,0.386925,
J50M5N1,5,3975,3403,572,14.3899,0.387691,
J50M10N1,1,4711,4084,627,13.3093,0.714363,
J50M10N1,2,4711,4084,627,13.3093,0.709882,
J50M10N1,3,4711,4084,627,13.3093,0.713611,
J50M10N1,4,4711,4084,627,13.3093,0.717239,
J50M10N1,5,4711,4084,627,13.3093,0.83092,
J50M20N1,1,5504,4929,575,10.4469,1.37044,
J50M20N1,2,5504,4929,575,10.4469,1.36646,
J50M20N1,3,5504,4929,575,10.4469,1.36625,
J50M20N1,4,5504,4929,575,10.4469,1.37004,
J50M20N1,5,5504,4929,575,10.4469,1.37039,
J100M5N1,1,8059,6816,1243,15.4237,3.14008,
J100M5N1,2,8059,6816,1243,15.4237,3.14547,
J100M5N1,3,8059,6816,1243,15.4237,3.14222,
J100M5N1,4,8059,6816,1243,15.4237,3.13911,
J100M5N1,5,8059,6816,1243,15.4237,3.14488,
J100M10N1,1,8854,7777,1077,12.164,5.67854,
J100M10N1,2,8854,7777,1077,12.164,5.80068,
J100M10N1,3,8854,7777,1077,12.164,5.70213,
J100M10N1,4,8854,7777,1077,12.164,5.67888,
J100M10N1,5,8854,7777,1077,12.164,5.67218,
J100M20N1,1,9596,8613,983,10.2439,11.9697,
J100M20N1,2,9596,8613,983,10.2439,12.0142,
J100M20N1,3,9596,8613,983,10.2439,11.9319,
J100M20N1,4,9596,8613,983,10.2439,11.9627,
J100M20N1,5,9596,8613,983,10.2439,11.9882,
J200M5N1,1,15790,13240,2550,16.1495,25.8523,
J200M5N1,2,15790,13240,2550,16.1495,25.9734,
J200M5N1,3,15790,13240,2550,16.1495,26.0771,
J200M5N1,4,15790,13240,2550,16.1495,26.0965,
J200M5N1,5,15790,13240,2550,16.1495,25.9948,
J200M10N1,1,16855,14712,2143,12.7143,52.6545,
J200M10N1,2,16855,14712,2143,12.7143,52.4744,
J200M10N1,3,16855,14712,2143,12.7143,52.4656,
J200M10N1,4,16855,14712,2143,12.7143,52.623,
J200M10N1,5,16855,14712,2143,12.7143,57.9465,
J200M20N1,1,17521,15975,1546,8.8237,107.304,
J200M20N1,2,17521,15975,1546,8.8237,107.505,
J200M20N1,3,17521,15975,1546,8.8237,107.216,
J200M20N1,4,17521,15975,1546,8.8237,109.521,
J200M20N1,5,17521,15975,1546,8.8237,113.896,
J500M5N1,1,38991,31795,7196,18.4555,465.193,
J500M5N1,2,38991,31795,7196,18.4555,467.889,
J500M5N1,3,38991,31795,7196,18.4555,464.751,
J500M5N1,4,38991,31795,7196,18.4555,467.518,
J500M5N1,5,38991,31795,7196,18.4555,464.541,
J500M10N1,1,41294,35695,5599,13.5589,860.77,
J500M10N1,2,41294,35695,5599,13.5589,856.16,
J500M10N1,3,41294,35695,5599,13.5589,854.362,
J500M10N1,4,41294,35695,5599,13.5589,855.05,
J500M10N1,5,41294,35695,5599,13.5589,855.773,
J500M20N1,1,43146,38886,4260,9.87345,1745.38,
J500M20N1,2,43146,38886,4260,9.87345,1736.09,
J500M20N1,3,43146,38886,4260,9.87345,2024.2,
J500M20N1,4,43146,38886,4260,9.87345,1945.25,
J500M20N1,5,43146,38886,4260,9.87345,1789.91,
