instance,iteration,initial_cost,final_cost,improvement_abs,improvement_pct,time_ms,note
J20M5N1,1,1828,1511,317,17.3414,0.045671,
J20M5N1,2,1828,1511,317,17.3414,0.044091,
J20M5N1,3,1828,1511,317,17.3414,0.043786,
J20M5N1,4,1828,1511,317,17.3414,0.043808,
J20M5N1,5,1828,1511,317,17.3414,0.043697,
J20M10N1,1,2140,1821,319,14.9065,0.216406,
J20M10N1,2,2140,1821,319,14.9065,0.196864,
J20M10N1,3,2140,1821,319,14.9065,0.197256,
J20M10N1,4,2140,1821,319,14.9065,0.197372,
J20M10N1,5,2140,1821,319,14.9065,0.194921,
J20M20N1,1,2974,2515,459,15.4338,0.371021,
J20M20N1,2,2974,2515,459,15.4338,0.40486,
J20M20N1,3,2974,2515,459,15.4338,0.411335,
J20M20N1,4,2974,2515,459,15.4338,0.370566,
J20M20N1,5,2974,2515,459,15.4338,0.405116,
J50M5N1,1,3975,3218,757,19.044,1.15846,
J50M5N1,2,3975,3218,757,19.044,1.21879,
J50M5N1,3,3975,3218,757,19.044,1.18254,
J50M5N1,4,3975,3218,757,19.044,1.33645,
J50M5N1,5,3975,3218,757,19.044,1.15974,
J50M10N1,1,4711,3805,906,19.2316,4.71133,
J50M10N1,2,4711,3805,906,19.2316,5.60531,
J50M10N1,3,4711,3805,906,19.2316,4.75716,
J50M10N1,4,4711,3805,906,19.2316,4.8896,
J50M10N1,5,4711,3805,906,19.2316,5.42176,
J50M20N1,1,5504,4852,652,11.8459,5.18394,
J50M20N1,2,5504,4852,652,11.8459,7.26654,
J50M20N1,3,5504,4852,652,11.8459,6.7114,
J50M20N1,4,5504,4852,652,11.8459,5.25445,
J50M20N1,5,5504,4852,652,11.8459,6.15024,
J100M5N1,1,8059,6490,1569,19.4689,11.1536,
J100M5N1,2,8059,6490,1569,19.4689,11.1372,
J100M5N1,3,8059,6490,1569,19.4689,11.1135,
J100M5N1,4,8059,6490,1569,19.4689,11.1716,
J100M5N1,5,8059,6490,1569,19.4689,11.162,
J100M10N1,1,8854,7489,1365,15.4168,28.1746,
J100M10N1,2,8854,7489,1365,15.4168,28.2603,
J100M10N1,3,8854,7489,1365,15.4168,28.1448,
J100M10N1,4,8854,7489,1365,15.4168,29.0297,
J100M10N1,5,8854,7489,1365,15.4168,28.1359,
J100M20N1,1,9596,8321,1275,13.2868,57.5634,
J100M20N1,2,9596,8321,1275,13.2868,74.3908,
J100M20N1,3,9596,8321,1275,13.2868,60.8013,
J100M20N1,4,9596,8321,1275,13.2868,49.5578,
J100M20N1,5,9596,8321,1275,13.2868,59.3338,
J200M5N1,1,15790,12355,3435,21.7543,140.998,
J200M5N1,2,15790,12355,3435,21.7543,160.15,
J200M5N1,3,15790,12355,3435,21.7543,140.705,
J200M5N1,4,15790,12355,3435,21.7543,139.585,
J200M5N1,5,15790,12355,3435,21.7543,140.24,
J200M10N1,1,16855,13892,2963,17.5794,390.485,
J200M10N1,2,16855,13892,2963,17.5794,387.838,
J200M10N1,3,16855,13892,2963,17.5794,396.416,
J200M10N1,4,16855,13892,2963,17.5794,398.331,
J200M10N1,5,16855,13892,2963,17.5794,388.821,
J200M20N1,1,17521,15375,2146,12.2482,734.903,
J200M20N1,2,17521,15375,2146,12.2482,771.491,
J200M20N1,3,17521,15375,2146,12.2482,741.949,
J200M20N1,4,17521,15375,2146,12.2482,836.965,
J200M20N1,5,17521,15375,2146,12.2482,727.512,
J500M5N1,1,38991,29576,9415,24.1466,2728.79,
J500M5N1,2,38991,29576,9415,24.1466,2691.43,
J500M5N1,3,38991,29576,9415,24.1466,2700.21,
J500M5N1,4,38991,29576,9415,24.1466,2694.36,
J500M5N1,5,38991,29576,9415,24.1466,2687.42,
J500M10N1,1,41294,33352,7942,19.2328,10339.9,
J500M10N1,2,41294,33352,7942,19.2328,10327.2,
J500M10N1,3,41294,33352,7942,19.2328,10342.5,
J500M10N1,4,41294,33352,7942,19.2328,10338.2,
J500M10N1,5,41294,33352,7942,19.2328,10321.3,
J500M20N1,1,43146,37135,6011,13.9318,18518.2,
J500M20N1,2,43146,37135,6011,13.9318,18760.1,
J500M20N1,3,43146,37135,6011,13.9318,18667.3,
J500M20N1,4,43146,37135,6011,13.9318,18567.2,
J500M20N1,5,43146,37135,6011,13.9318,17967.7,
