instance,iteration,initial_cost,final_cost,improvement_abs,improvement_pct,time_ms,note
J20M5N1,1,1828,1374,454,24.8359,2000,iters=611273 final_T=2.477235 current_cost=1385
J20M5N1,2,1828,1374,454,24.8359,2000,iters=670480 final_T=2.307460 current_cost=1389
J20M5N1,3,1828,1374,454,24.8359,2000,iters=641199 final_T=2.388412 current_cost=1394
J20M5N1,4,1828,1374,454,24.8359,2000.01,iters=519045 final_T=2.797910 current_cost=1379
J20M5N1,5,1828,1374,454,24.8359,2000.01,iters=492826 final_T=2.904807 current_cost=1379
J20M10N1,1,2140,1698,442,20.6542,2000.01,iters=513703 final_T=2.820274 current_cost=1707
J20M10N1,2,2140,1698,442,20.6542,2000,iters=576288 final_T=2.590816 current_cost=1702
J20M10N1,3,2140,1698,442,20.6542,2000.01,iters=460810 final_T=3.048452 current_cost=1722
J20M10N1,4,2140,1698,442,20.6542,2000.02,iters=332939 final_T=3.789694 current_cost=1709
J20M10N1,5,2140,1698,442,20.6542,2000.01,iters=468992 final_T=3.010771 current_cost=1707
J20M20N1,1,2974,2436,538,18.0901,2000.01,iters=257074 final_T=4.397870 current_cost=2469
J20M20N1,2,2974,2436,538,18.0901,2000.01,iters=351267 final_T=3.642327 current_cost=2469
J20M20N1,3,2974,2436,538,18.0901,2000.02,iters=231547 final_T=4.659829 current_cost=2477
J20M20N1,4,2974,2436,538,18.0901,2000.01,iters=251379 final_T=4.453728 current_cost=2486
J20M20N1,5,2974,2436,538,18.0901,2000.01,iters=293716 final_T=4.069487 current_cost=2459
J50M5N1,1,3975,3030,945,23.7736,2000.03,iters=182695 final_T=5.141531 current_cost=3107
J50M5N1,2,3975,3030,945,23.7736,2000.02,iters=188918 final_T=5.060883 current_cost=3123
J50M5N1,3,3975,3030,945,23.7736,2000.02,iters=184492 final_T=5.117980 current_cost=3095
J50M5N1,4,3975,3057,918,23.0943,2000.83,iters=157961 final_T=5.489206 current_cost=3182
J50M5N1,5,3975,3057,918,23.0943,2000.03,iters=159250 final_T=5.469930 current_cost=3175
J50M10N1,1,4711,3682,1029,21.8425,2000.02,iters=161926 final_T=5.537084 current_cost=3734
J50M10N1,2,4711,3682,1029,21.8425,2000.02,iters=166307 final_T=5.470700 current_cost=3795
J50M10N1,3,4711,3682,1029,21.8425,2000.02,iters=173428 final_T=5.366130 current_cost=3749
J50M10N1,4,4711,3682,1029,21.8425,2000.05,iters=156841 final_T=5.616184 current_cost=3752
J50M10N1,5,4711,3682,1029,21.8425,2000.05,iters=160490 final_T=5.559195 current_cost=3744
J50M20N1,1,5504,4560,944,17.1512,2000.02,iters=144215 final_T=5.926938 current_cost=4647
J50M20N1,2,5504,4560,944,17.1512,2000.03,iters=123469 final_T=6.316890 current_cost=4622
J50M20N1,3,5504,4560,944,17.1512,2000.02,iters=135645 final_T=6.082035 current_cost=4606
J50M20N1,4,5504,4560,944,17.1512,2000.03,iters=134619 final_T=6.101149 current_cost=4683
J50M20N1,5,5504,4560,944,17.1512,2000.03,iters=139563 final_T=6.010133 current_cost=4614
J100M5N1,1,8059,6335,1724,21.3922,2000.04,iters=100868 final_T=6.778850 current_cost=6418
J100M5N1,2,8059,6335,1724,21.3922,2000.03,iters=104063 final_T=6.705980 current_cost=6531
J100M5N1,3,8059,6335,1724,21.3922,2000.04,iters=102906 final_T=6.732187 current_cost=6478
J100M5N1,4,8059,6335,1724,21.3922,2000.04,iters=102398 final_T=6.743758 current_cost=6459
J100M5N1,5,8059,6335,1724,21.3922,2000.05,iters=88936 final_T=7.065582 current_cost=6387
J100M10N1,1,8854,7235,1619,18.2855,2000.03,iters=91247 final_T=7.035870 current_cost=7360
J100M10N1,2,8854,7235,1619,18.2855,2000.03,iters=89621 final_T=7.076514 current_cost=7448
J100M10N1,3,8854,7235,1619,18.2855,2000.03,iters=87483 final_T=7.130677 current_cost=7460
J100M10N1,4,8854,7235,1619,18.2855,2000.05,iters=86561 final_T=7.154291 current_cost=7311
J100M10N1,5,8854,7235,1619,18.2855,2000.03,iters=88594 final_T=7.102428 current_cost=7391
J100M20N1,1,9596,8031,1565,16.3089,2000.05,iters=70998 final_T=7.315334 current_cost=8095
J100M20N1,2,9596,8031,1565,16.3089,2000.05,iters=72274 final_T=7.281398 current_cost=8146
J100M20N1,3,9596,8031,1565,16.3089,2000.03,iters=71769 final_T=7.294791 current_cost=8097
J100M20N1,4,9596,8031,1565,16.3089,2000.04,iters=72166 final_T=7.284258 current_cost=8142
J100M20N1,5,9596,8031,1565,16.3089,2000.04,iters=70929 final_T=7.317178 current_cost=8103
J200M5N1,1,15790,12475,3315,20.9943,2000.08,iters=52265 final_T=8.044470 current_cost=12680
J200M5N1,2,15790,12475,3315,20.9943,2000.07,iters=52949 final_T=8.022353 current_cost=12642
J200M5N1,3,15790,12475,3315,20.9943,2000.07,iters=52450 final_T=8.038476 current_cost=12671
J200M5N1,4,15790,12475,3315,20.9943,2000.06,iters=53111 final_T=8.017133 current_cost=12702
