instance,iteration,initial_cost,final_cost,improvement_abs,improvement_pct,time_ms,note
J20M5N1,1,1828,1399,429,23.4683,0.292608,
J20M5N1,2,1828,1399,429,23.4683,0.276658,
J20M5N1,3,1828,1399,429,23.4683,0.274691,
J20M5N1,4,1828,1399,429,23.4683,0.271984,
J20M5N1,5,1828,1399,429,23.4683,0.292228,
J20M10N1,1,2140,1739,401,18.7383,0.248059,
J20M10N1,2,2140,1739,401,18.7383,0.267116,
J20M10N1,3,2140,1739,401,18.7383,0.281466,
J20M10N1,4,2140,1739,401,18.7383,0.302805,
J20M10N1,5,2140,1739,401,18.7383,0.25476,
J20M20N1,1,2974,2511,463,15.5683,0.339615,
J20M20N1,2,2974,2511,463,15.5683,0.337377,
J20M20N1,3,2974,2511,463,15.5683,0.427372,
J20M20N1,4,2974,2511,463,15.5683,0.337699,
J20M20N1,5,2974,2511,463,15.5683,0.365807,
J50M5N1,1,3975,3122,853,21.4591,5.5187,
J50M5N1,2,3975,3122,853,21.4591,5.50211,
J50M5N1,3,3975,3122,853,21.4591,5.6223,
J50M5N1,4,3975,3122,853,21.4591,5.52918,
J50M5N1,5,3975,3122,853,21.4591,5.5538,
J50M10N1,1,4711,3782,929,19.7198,3.94941,
J50M10N1,2,4711,3782,929,19.7198,3.85327,
J50M10N1,3,4711,3782,929,19.7198,4.3934,
J50M10N1,4,4711,3782,929,19.7198,4.44742,
J50M10N1,5,4711,3782,929,19.7198,3.92209,
J50M20N1,1,5504,4826,678,12.3183,4.64031,
J50M20N1,2,5504,4826,678,12.3183,4.45547,
J50M20N1,3,5504,4826,678,12.3183,4.48339,
J50M20N1,4,5504,4826,678,12.3183,4.44798,
J50M20N1,5,5504,4826,678,12.3183,5.56945,
J100M5N1,1,8059,6396,1663,20.6353,56.5701,
J100M5N1,2,8059,6396,1663,20.6353,56.9032,
J100M5N1,3,8059,6396,1663,20.6353,56.6956,
J100M5N1,4,8059,6396,1663,20.6353,57.0849,
J100M5N1,5,8059,6396,1663,20.6353,56.8637,
J100M10N1,1,8854,7273,1581,17.8563,106.227,
J100M10N1,2,8854,7273,1581,17.8563,104.147,
J100M10N1,3,8854,7273,1581,17.8563,104.431,
J100M10N1,4,8854,7273,1581,17.8563,104.167,
J100M10N1,5,8854,7273,1581,17.8563,110.054,
J100M20N1,1,9596,8091,1505,15.6836,92.4172,
J100M20N1,2,9596,8091,1505,15.6836,96.585,
J100M20N1,3,9596,8091,1505,15.6836,82.4765,
J100M20N1,4,9596,8091,1505,15.6836,80.1847,
J100M20N1,5,9596,8091,1505,15.6836,80.2533,
J200M5N1,1,15790,12213,3577,22.6536,1214.99,
J200M5N1,2,15790,12213,3577,22.6536,1222.36,
J200M5N1,3,15790,12213,3577,22.6536,1213.73,
J200M5N1,4,15790,12213,3577,22.6536,1218.14,
J200M5N1,5,15790,12213,3577,22.6536,1225.1,
J200M10N1,1,16855,13894,2961,17.5675,728.94,
J200M10N1,2,16855,13894,2961,17.5675,728.093,
J200M10N1,3,16855,13894,2961,17.5675,728.882,
J200M10N1,4,16855,13894,2961,17.5675,727.534,
J200M10N1,5,16855,13894,2961,17.5675,727.908,
J200M20N1,1,17521,15258,2263,12.9159,1608.29,
J200M20N1,2,17521,15258,2263,12.9159,1478.31,
J200M20N1,3,17521,15258,2263,12.9159,1486.67,
J200M20N1,4,17521,15258,2263,12.9159,1536.57,
J200M20N1,5,17521,15258,2263,12.9159,1483.46,
J500M5N1,1,38991,29355,9636,24.7134,67045.8,
J500M5N1,2,38991,29355,9636,24.7134,66763.8,
J500M5N1,3,38991,29355,9636,24.7134,66728.1,
J500M5N1,4,38991,29355,9636,24.7134,66672.1,
J500M5N1,5,38991,29355,9636,24.7134,66970.4,
J500M10N1,1,41294,33591,7703,18.654,82879.9,
J500M10N1,2,41294,33591,7703,18.654,82900.1,
J500M10N1,3,41294,33591,7703,18.654,82514,
J500M10N1,4,41294,33591,7703,18.654,82451.5,
J500M10N1,5,41294,33591,7703,18.654,82587.9,
J500M20N1,1,43146,37315,5831,13.5146,77149.2,
J500M20N1,2,43146,37315,5831,13.5146,77557,
J500M20N1,3,43146,37315,5831,13.5146,76802.4,
J500M20N1,4,43146,37315,5831,13.5146,77566.3,
J500M20N1,5,43146,37315,5831,13.5146,76823.1,
