instance,iteration,initial_cost,final_cost,improvement_abs,improvement_pct,time_ms,note
J20M5N1,1,1828,1447,381,20.8425,0.090359,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug
J20M5N1,2,1828,1447,381,20.8425,0.076319,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug
J20M5N1,3,1828,1447,381,20.8425,0.074194,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug
J20M5N1,4,1828,1447,381,20.8425,0.073566,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug
J20M5N1,5,1828,1447,381,20.8425,0.072137,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug
J20M10N1,1,2140,1746,394,18.4112,0.200314,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug
J20M10N1,2,2140,1746,394,18.4112,0.182412,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug
J20M10N1,3,2140,1746,394,18.4112,0.181172,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug
J20M10N1,4,2140,1746,394,18.4112,0.171513,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug
J20M10N1,5,2140,1746,394,18.4112,0.165331,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug
J20M20N1,1,2974,2511,463,15.5683,0.344111,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug
J20M20N1,2,2974,2511,463,15.5683,0.340418,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug
J20M20N1,3,2974,2511,463,15.5683,0.391933,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug
J20M20N1,4,2974,2511,463,15.5683,0.338458,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug
J20M20N1,5,2974,2511,463,15.5683,0.337451,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug
J50M5N1,1,3975,3221,754,18.9686,0.775083,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug
J50M5N1,2,3975,3221,754,18.9686,0.744066,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug
J50M5N1,3,3975,3221,754,18.9686,0.765633,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug
J50M5N1,4,3975,3221,754,18.9686,0.751714,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug
J50M5N1,5,3975,3221,754,18.9686,0.835995,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug
J50M10N1,1,4711,3818,893,18.9556,1.66215,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug
J50M10N1,2,4711,3818,893,18.9556,1.61106,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug
J50M10N1,3,4711,3818,893,18.9556,1.57076,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug
J50M10N1,4,4711,3818,893,18.9556,1.5586,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug
J50M10N1,5,4711,3818,893,18.9556,1.73953,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug
J50M20N1,1,5504,4836,668,12.1366,1.77947,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug
J50M20N1,2,5504,4836,668,12.1366,2.1009,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug
J50M20N1,3,5504,4836,668,12.1366,1.80101,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug
J50M20N1,4,5504,4836,668,12.1366,1.78775,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug
J50M20N1,5,5504,4836,668,12.1366,1.74476,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug
J100M5N1,1,8059,6551,1508,18.712,4.52698,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug
J100M5N1,2,8059,6551,1508,18.712,4.48355,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug
J100M5N1,3,8059,6551,1508,18.712,4.4878,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug
J100M5N1,4,8059,6551,1508,18.712,4.47053,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug
J100M5N1,5,8059,6551,1508,18.712,4.46647,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug
J100M10N1,1,8854,7504,1350,15.2473,6.06967,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug
J100M10N1,2,8854,7504,1350,15.2473,6.0485,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug
J100M10N1,3,8854,7504,1350,15.2473,6.0204,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug
J100M10N1,4,8854,7504,1350,15.2473,6.05459,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug
J100M10N1,5,8854,7504,1350,15.2473,6.14729,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug
J100M20N1,1,9596,8270,1326,13.8183,15.3795,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug
J100M20N1,2,9596,8270,1326,13.8183,14.6936,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug
J100M20N1,3,9596,8270,1326,13.8183,14.8224,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug
J100M20N1,4,9596,8270,1326,13.8183,14.8317,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug
J100M20N1,5,9596,8270,1326,13.8183,14.7655,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug
J200M5N1,1,15790,12617,3173,20.095,28.3809,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug
J200M5N1,2,15790,12617,3173,20.095,29.872,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug
J200M5N1,3,15790,12617,3173,20.095,28.3101,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug
J200M5N1,4,15790,12617,3173,20.095,28.8815,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug
J200M5N1,5,15790,12617,3173,20.095,28.6228,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug
J200M10N1,1,16855,14168,2687,15.9419,53.3804,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug
J200M10N1,2,16855,14168,2687,15.9419,61.1463,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug
J200M10N1,3,16855,14168,2687,15.9419,52.9226,k=2 (best-swap-ig) never contributes: see best-swap-ig's bug
