instance,initial_cost,final_cost,improvement_abs,improvement_pct,time_ms,note
J20M5N1,1828,1400,428,23.4136,0.451225,
J20M10N1,2140,1734,406,18.972,1.37461,
J20M20N1,2974,2531,443,14.8958,1.37717,
J50M5N1,3975,3079,896,22.5409,13.2193,
J50M10N1,4711,3824,887,18.8283,27.8696,
J50M20N1,5504,4802,702,12.7544,18.2807,
J100M5N1,8059,6291,1768,21.9382,199.04,
J100M10N1,8854,7266,1588,17.9354,348.012,
J100M20N1,9596,8095,1501,15.6419,939.928,
J200M5N1,15790,12310,3480,22.0393,4357.45,
J200M10N1,16855,13941,2914,17.2886,8470.61,
J200M20N1,17521,15220,2301,13.1328,13776.9,
J500M5N1,38991,29519,9472,24.2928,211231,
J500M10N1,41294,33656,7638,18.4966,294439,
J500M20N1,43146,37348,5798,13.4381,500465,
