instance,initial_cost,final_cost,improvement_abs,improvement_pct,time_ms,note
J20M5N1,1828,1447,381,20.8425,0.0959704,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J20M10N1,2140,1746,394,18.4112,0.262392,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J20M20N1,2974,2511,463,15.5683,0.301302,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J50M5N1,3975,3221,754,18.9686,1.09207,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J50M10N1,4711,3818,893,18.9556,2.14725,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J50M20N1,5504,4836,668,12.1366,2.74644,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J100M5N1,8059,6551,1508,18.712,10.5949,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J100M10N1,8854,7504,1350,15.2473,10.1554,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J100M20N1,9596,8270,1326,13.8183,49.8459,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J200M5N1,15790,12617,3173,20.095,46.83,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J200M10N1,16855,14168,2687,15.9419,109.961,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J200M20N1,17521,15407,2114,12.0655,210.532,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J500M5N1,38991,30613,8378,21.487,1011,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J500M10N1,41294,34709,6585,15.9466,1573.08,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J500M20N1,43146,37851,5295,12.2723,2578.36,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
