instance,naive_ms,accel_ms,factor,correct,note
J20M5N1,0.0117506,0.0006922,16.9757,1,steps=18
J20M5N2,0.021936,0.001318,16.6434,1,steps=18
J20M5N3,0.0180062,0.0010696,16.8345,1,steps=18
J20M5N4,0.0107884,0.0006288,17.1571,1,steps=18
J20M5N5,0.011968,0.0006668,17.9484,1,steps=18
J20M5N6,0.0116764,0.000665,17.5585,1,steps=18
J20M5N7,0.0271448,0.0012638,21.4787,1,steps=18
J20M5N8,0.0117988,0.00068,17.3512,1,steps=18
J20M5N9,0.0115924,0.0007218,16.0604,1,steps=18
J20M5N10,0.0292548,0.0019732,14.8261,1,steps=18
J20M10N1,0.0132642,0.0008318,15.9464,1,steps=18
J20M10N2,0.0132482,0.0008128,16.2995,1,steps=18
J20M10N3,0.0132378,0.0008024,16.4978,1,steps=18
J20M10N4,0.0133208,0.0007972,16.7095,1,steps=18
J20M10N5,0.0124462,0.0007524,16.542,1,steps=18
J20M10N6,0.0122032,0.000764,15.9728,1,steps=18
J20M10N7,0.0173704,0.0014308,12.1403,1,steps=18
J20M10N8,0.01846,0.0011338,16.2815,1,steps=18
J20M10N9,0.0152376,0.0008144,18.7102,1,steps=18
J20M10N10,0.0369328,0.0021932,16.8397,1,steps=18
J20M20N1,0.0166046,0.0009988,16.6245,1,steps=18
J20M20N2,0.0260974,0.0016224,16.0857,1,steps=18
J20M20N3,0.024395,0.001513,16.1236,1,steps=18
J20M20N4,0.0653238,0.0039734,16.4403,1,steps=18
J20M20N5,0.0244448,0.0014962,16.3379,1,steps=18
J20M20N6,0.055114,0.003419,16.1199,1,steps=18
J20M20N7,0.0162546,0.0009952,16.333,1,steps=18
J20M20N8,0.0163552,0.0009874,16.5639,1,steps=18
J20M20N9,0.016297,0.0010144,16.0657,1,steps=18
J20M20N10,0.0160036,0.0010236,15.6346,1,steps=18
J50M5N1,0.0978398,0.0016286,60.076,1,steps=48
J50M5N2,0.060351,0.0016356,36.8984,1,steps=48
J50M5N3,0.0607908,0.001646,36.9324,1,steps=48
J50M5N4,0.0613674,0.0016364,37.5015,1,steps=48
J50M5N5,0.0624108,0.00166,37.5969,1,steps=48
J50M5N6,0.0606466,0.0016258,37.3026,1,steps=48
J50M5N7,0.0599658,0.0016592,36.1414,1,steps=48
J50M5N8,0.059997,0.001655,36.252,1,steps=48
J50M5N9,0.0603842,0.001648,36.6409,1,steps=48
J50M5N10,0.0601328,0.0016718,35.9689,1,steps=48
J50M10N1,0.0808988,0.0020778,38.9348,1,steps=48
J50M10N2,0.074857,0.0020592,36.3525,1,steps=48
J50M10N3,0.0744354,0.002021,36.831,1,steps=48
J50M10N4,0.0761724,0.0020222,37.6681,1,steps=48
J50M10N5,0.0745076,0.00207,35.994,1,steps=48
J50M10N6,0.0783366,0.0028808,27.1927,1,steps=48
J50M10N7,0.0754062,0.0021798,34.5932,1,steps=48
J50M10N8,0.0757794,0.0020234,37.4515,1,steps=48
J50M10N9,0.0759076,0.0021546,35.2305,1,steps=48
J50M10N10,0.0746772,0.002012,37.1159,1,steps=48
J50M20N1,0.102213,0.0029958,34.1188,1,steps=48
J50M20N2,0.0949922,0.002769,34.3056,1,steps=48
J50M20N3,0.0962522,0.0027778,34.6505,1,steps=48
J50M20N4,0.0963746,0.0028068,34.3361,1,steps=48
J50M20N5,0.096111,0.0030738,31.2678,1,steps=48
J50M20N6,0.0977446,0.0029966,32.6185,1,steps=48
J50M20N7,0.0972908,0.0027772,35.032,1,steps=48
J50M20N8,0.108148,0.0030802,35.1108,1,steps=48
J50M20N9,0.0962644,0.0028488,33.7912,1,steps=48
J50M20N10,0.101253,0.0027726,36.5192,1,steps=48
J100M5N1,0.268312,0.003859,69.529,1,steps=98
J100M5N2,0.269991,0.0040226,67.1184,1,steps=98
J100M5N3,0.268125,0.003716,72.1541,1,steps=98
J100M5N4,0.277524,0.0037064,74.8769,1,steps=98
