instance,naive_ms,accel_ms,factor,correct,note
J20M5N1,0.345572,0.0143566,24.0706,1,makespan=1643
J20M5N2,0.507262,0.0141606,35.8221,1,makespan=1695
J20M5N3,0.475557,0.0215468,22.0709,1,makespan=1578
J20M5N4,0.288296,0.0128744,22.393,1,makespan=1719
J20M5N5,0.326064,0.0189196,17.2342,1,makespan=1514
J20M5N6,0.30602,0.0138416,22.1087,1,makespan=1602
J20M5N7,0.56981,0.0284154,20.0529,1,makespan=1611
J20M5N8,0.306608,0.0140478,21.826,1,makespan=1632
J20M5N9,0.306205,0.0139858,21.894,1,makespan=1613
J20M5N10,0.77499,0.0242644,31.9394,1,makespan=1553
J20M10N1,0.743166,0.0415172,17.9002,1,makespan=2085
J20M10N2,0.360452,0.022389,16.0995,1,makespan=2243
J20M10N3,0.359667,0.0231268,15.552,1,makespan=1950
J20M10N4,0.36168,0.0253128,14.2884,1,makespan=1958
J20M10N5,0.345879,0.0216976,15.9409,1,makespan=1930
J20M10N6,0.358128,0.020191,17.737,1,makespan=1927
J20M10N7,0.365407,0.0202934,18.0062,1,makespan=1791
J20M10N8,0.522227,0.0327592,15.9414,1,makespan=2051
J20M10N9,0.374364,0.0204058,18.346,1,makespan=2024
J20M10N10,0.424447,0.0201642,21.0495,1,makespan=2037
J20M20N1,0.551312,0.0378192,14.5776,1,makespan=2881
J20M20N2,0.857117,0.061361,13.9684,1,makespan=2737
J20M20N3,0.989207,0.0567668,17.4258,1,makespan=2813
J20M20N4,1.04626,0.063903,16.3726,1,makespan=2778
J20M20N5,0.806116,0.0569132,14.164,1,makespan=2818
J20M20N6,1.83622,0.129369,14.1936,1,makespan=2646
J20M20N7,0.530476,0.0372622,14.2363,1,makespan=2735
J20M20N8,0.539633,0.0410848,13.1346,1,makespan=2737
J20M20N9,0.619632,0.0374296,16.5546,1,makespan=2820
J20M20N10,0.567216,0.0376904,15.0493,1,makespan=2636
J50M5N1,6.87837,0.0755168,91.084,1,makespan=3866
J50M5N2,7.59746,0.113906,66.6993,1,makespan=4032
J50M5N3,7.82119,0.11259,69.4663,1,makespan=3686
J50M5N4,7.50637,0.106432,70.5276,1,makespan=3789
J50M5N5,7.2485,0.08185,88.5583,1,makespan=3865
J50M5N6,7.49848,0.11097,67.5723,1,makespan=3758
J50M5N7,7.41442,0.106843,69.3952,1,makespan=3672
J50M5N8,7.54263,0.113341,66.548,1,makespan=3799
J50M5N9,7.25149,0.102034,71.0691,1,makespan=3538
J50M5N10,7.04575,0.0750172,93.9218,1,makespan=3949
J50M10N1,8.30354,0.122836,67.5988,1,makespan=4345
J50M10N2,7.59105,0.123213,61.6093,1,makespan=4272
J50M10N3,7.70727,0.133987,57.5225,1,makespan=4292
J50M10N4,8.25211,0.127698,64.622,1,makespan=4483
J50M10N5,7.73252,0.124397,62.1601,1,makespan=4314
J50M10N6,7.63137,0.128849,59.2272,1,makespan=4370
J50M10N7,8.49009,0.136228,62.3224,1,makespan=4431
J50M10N8,7.76568,0.157782,49.2178,1,makespan=4232
J50M10N9,7.70583,0.123656,62.3165,1,makespan=4352
J50M10N10,8.00146,0.168103,47.5984,1,makespan=4390
J50M20N1,8.99633,0.235329,38.2287,1,makespan=5329
J50M20N2,9.51602,0.245174,38.8134,1,makespan=5110
J50M20N3,8.93946,0.2346,38.1051,1,makespan=5125
J50M20N4,9.00217,0.23489,38.3251,1,makespan=5146
J50M20N5,9.02521,0.235421,38.3364,1,makespan=5217
J50M20N6,9.11675,0.235694,38.6805,1,makespan=5176
J50M20N7,9.08422,0.236341,38.437,1,makespan=5301
J50M20N8,9.03299,0.236846,38.1387,1,makespan=5217
J50M20N9,9.02658,0.235378,38.3494,1,makespan=5137
J50M20N10,9.22742,0.23479,39.3008,1,makespan=5218
J100M5N1,55.8646,0.281678,198.328,1,makespan=7682
J100M5N2,57.9795,0.284007,204.148,1,makespan=7324
J100M5N3,54.9515,0.28169,195.078,1,makespan=7370
J100M5N4,55.3594,0.44547,124.272,1,makespan=7033
J100M5N5,54.6825,0.281255,194.423,1,makespan=7392
J100M5N6,54.7628,0.287026,190.794,1,makespan=7305
J100M5N7,55.433,0.283245,195.707,1,makespan=7409
J100M5N8,56.0622,0.294952,190.072,1,makespan=7310
J100M5N9,54.8154,0.285162,192.225,1,makespan=7612
J100M5N10,54.9961,0.281033,195.693,1,makespan=7678
J100M10N1,62.1672,0.499644,124.423,1,makespan=8497
J100M10N2,61.9895,0.503347,123.155,1,makespan=8231
J100M10N3,61.8372,0.500106,123.648,1,makespan=8280
J100M10N4,61.8055,0.500031,123.603,1,makespan=8446
J100M10N5,61.7661,0.502927,122.813,1,makespan=8229
J100M10N6,61.1696,0.516116,118.519,1,makespan=8151
J100M10N7,61.5173,0.503898,122.083,1,makespan=8193
J100M10N8,61.7773,0.5002,123.505,1,makespan=8277
J100M10N9,61.6956,0.50355,122.521,1,makespan=8388
J100M10N10,62.5733,0.498672,125.48,1,makespan=8182
J100M20N1,77.0635,0.956144,80.5982,1,makespan=9303
J100M20N2,77.2873,0.962243,80.32,1,makespan=9230
J100M20N3,75.6734,0.964906,78.4257,1,makespan=9143
J100M20N4,77.2362,0.957329,80.6789,1,makespan=9305
J100M20N5,76.7461,1.13587,67.566,1,makespan=9290
J100M20N6,76.5235,0.960855,79.641,1,makespan=9210
J100M20N7,76.9801,0.974382,79.004,1,makespan=9284
J100M20N8,76.4523,0.954718,80.0784,1,makespan=9456
J100M20N9,81.3447,1.02549,79.3226,1,makespan=9306
J100M20N10,79.4982,0.978792,81.2207,1,makespan=9614
J200M5N1,469.108,1.15659,405.594,1,makespan=14853
J200M5N2,450.369,1.1296,398.697,1,makespan=14638
J200M5N3,448.129,1.13527,394.734,1,makespan=14775
J200M5N4,448.15,1.13232,395.782,1,makespan=14792
J200M5N5,455.154,1.12996,402.805,1,makespan=14999
J200M5N6,447.992,1.14065,392.751,1,makespan=14533
J200M5N7,457.452,1.13475,403.13,1,makespan=15081
J200M5N8,456.145,1.13852,400.648,1,makespan=14749
J200M5N9,449.67,1.14084,394.158,1,makespan=14908
J200M5N10,451.914,1.14776,393.736,1,makespan=14765
J200M10N1,519.78,2.03558,255.347,1,makespan=16216
J200M10N2,539.093,2.01607,267.398,1,makespan=16195
J200M10N3,514.95,2.00978,256.221,1,makespan=16072
J200M10N4,509.95,2.02198,252.203,1,makespan=16191
J200M10N5,515.144,2.01553,255.588,1,makespan=16301
J200M10N6,517.009,2.01487,256.597,1,makespan=15988
J200M10N7,511.666,2.19168,233.458,1,makespan=16576
J200M10N8,514.93,2.01972,254.95,1,makespan=16399
J200M10N9,517.071,2.03726,253.807,1,makespan=16112
J200M10N10,523.746,2.05262,255.16,1,makespan=16157
J200M20N1,639.731,3.9026,163.924,1,makespan=17305
J200M20N2,647.614,3.99124,162.259,1,makespan=17617
J200M20N3,650.199,3.95284,164.489,1,makespan=17425
J200M20N4,647.436,4.0157,161.226,1,makespan=17615
J200M20N5,640.326,3.95528,161.891,1,makespan=17279
J200M20N6,647.628,4.02504,160.9,1,makespan=17751
J200M20N7,637.692,4.00077,159.392,1,makespan=17565
J200M20N8,646.183,4.06513,158.958,1,makespan=17511
J200M20N9,640.268,3.96707,161.396,1,makespan=17166
J200M20N10,644.841,3.92373,164.344,1,makespan=17575
J500M5N1,7205.79,7.40472,973.135,1,makespan=36922
J500M5N2,7207.09,7.34853,980.753,1,makespan=37151
J500M5N3,7213.95,7.26559,992.894,1,makespan=37018
J500M5N4,7195.43,7.418,969.996,1,makespan=36885
J500M5N5,7199.68,7.27971,989.007,1,makespan=37257
J500M5N6,7329.5,7.40606,989.662,1,makespan=36973
J500M5N7,7181.97,7.25179,990.372,1,makespan=36954
J500M5N8,7162.79,7.25195,987.705,1,makespan=37094
J500M5N9,7230.27,7.28827,992.041,1,makespan=36947
J500M5N10,7200.74,7.28162,988.892,1,makespan=36881
J500M10N1,8145.84,13.7604,591.975,1,makespan=39691
J500M10N2,8120.53,13.6569,594.612,1,makespan=40214
J500M10N3,8212.81,13.903,590.723,1,makespan=39836
J500M10N4,9060.46,13.7057,661.07,1,makespan=40339
J500M10N5,8357.79,13.5407,617.235,1,makespan=39936
J500M10N6,8607.73,13.7252,627.148,1,makespan=40188
J500M10N7,8290.55,13.8676,597.836,1,makespan=39980
J500M10N8,8300.83,13.445,617.39,1,makespan=39735
J500M10N9,8141.53,13.4456,605.516,1,makespan=40203
J500M10N10,8132.68,13.6098,597.561,1,makespan=40134
J500M20N1,10671.1,27.2488,391.617,1,makespan=41826
J500M20N2,10534.1,27.6784,380.59,1,makespan=42206
J500M20N3,11344.4,27.838,407.515,1,makespan=41880
J500M20N4,13006.6,27.1629,478.839,1,makespan=42068
J500M20N5,11320.3,29.7926,379.969,1,makespan=41897
J500M20N6,10384.7,27.1458,382.554,1,makespan=42542
J500M20N7,10698.5,26.9835,396.483,1,makespan=42008
J500M20N8,10659.7,27.5153,387.41,1,makespan=42293
J500M20N9,10752.9,27.4404,391.863,1,makespan=42065
J500M20N10,10574.7,27.6358,382.646,1,makespan=42274
