instance,naive_ms,accel_ms,factor,correct,note
J20M5N1,0.0432268,0.0413492,1.04541,1,start=1463 restricted=1403 full=1406
J20M5N2,0.0275132,0.0347638,0.791432,1,start=1501 restricted=1487 full=1487
J20M5N3,0.038436,0.0534056,0.7197,1,start=1404 restricted=1335 full=1345
J20M5N4,0.0296442,0.0569354,0.520664,1,start=1489 restricted=1467 full=1464
J20M5N5,0.049419,0.0702766,0.703207,1,start=1410 restricted=1347 full=1347
J20M5N6,0.0234248,0.052946,0.442428,1,start=1453 restricted=1427 full=1427
J20M5N7,0.0529744,0.116221,0.455808,1,start=1456 restricted=1412 full=1425
J20M5N8,0.0323458,0.0466706,0.693066,1,start=1481 restricted=1395 full=1424
J20M5N9,0.0141818,0.0188202,0.753541,1,start=1457 restricted=1457 full=1457
J20M5N10,0.0211538,0.0338974,0.624054,1,start=1304 restricted=1304 full=1304
J20M10N1,0.112583,0.0645416,1.74434,1,start=1813 restricted=1797 full=1768
J20M10N2,0.0539946,0.0512798,1.05294,1,start=1984 restricted=1906 full=1898
J20M10N3,0.0562652,0.0705008,0.798079,1,start=1728 restricted=1672 full=1672
J20M10N4,0.029024,0.043866,0.661651,1,start=1670 restricted=1593 full=1593
J20M10N5,0.0425574,0.071307,0.596819,1,start=1704 restricted=1657 full=1657
J20M10N6,0.0702918,0.119945,0.586033,1,start=1657 restricted=1628 full=1640
J20M10N7,0.0332554,0.0413094,0.805032,1,start=1732 restricted=1645 full=1645
J20M10N8,0.0297194,0.0401128,0.740896,1,start=1846 restricted=1836 full=1836
J20M10N9,0.0501354,0.0747594,0.670623,1,start=1820 restricted=1786 full=1786
J20M10N10,0.0293976,0.0438826,0.669915,1,start=1915 restricted=1876 full=1876
J20M20N1,0.0710844,0.112328,0.63283,1,start=2571 restricted=2498 full=2498
J20M20N2,0.098758,0.161216,0.612582,1,start=2330 restricted=2291 full=2291
J20M20N3,0.170558,0.214044,0.796837,1,start=2674 restricted=2526 full=2526
J20M20N4,0.148182,0.171805,0.8625,1,start=2465 restricted=2393 full=2393
J20M20N5,0.107548,0.206692,0.520328,1,start=2569 restricted=2447 full=2494
J20M20N6,0.230356,0.284731,0.809029,1,start=2546 restricted=2464 full=2464
J20M20N7,0.0731536,0.091275,0.801464,1,start=2471 restricted=2439 full=2439
J20M20N8,0.0948998,0.12202,0.777742,1,start=2442 restricted=2359 full=2359
J20M20N9,0.0787864,0.0780108,1.00994,1,start=2512 restricted=2471 full=2465
J20M20N10,0.054304,0.0665194,0.816363,1,start=2389 restricted=2373 full=2373
J50M5N1,0.160669,0.220926,0.727251,1,start=3235 restricted=3196 full=3196
J50M5N2,0.180983,0.237397,0.762364,1,start=3391 restricted=3369 full=3369
J50M5N3,0.15841,0.205282,0.771668,1,start=3223 restricted=3177 full=3177
J50M5N4,0.282735,0.374533,0.754901,1,start=3359 restricted=3266 full=3262
J50M5N5,0.562001,0.562642,0.998862,1,start=3373 restricted=3345 full=3338
J50M5N6,0.184554,0.169606,1.08813,1,start=3359 restricted=3266 full=3266
J50M5N7,0.432793,0.556267,0.778031,1,start=3224 restricted=3158 full=3158
J50M5N8,0.156249,0.274918,0.568346,1,start=3264 restricted=3196 full=3218
J50M5N9,0.274552,0.252262,1.08836,1,start=3108 restricted=3063 full=3061
J50M5N10,0.231497,0.314117,0.736977,1,start=3312 restricted=3246 full=3246
J50M10N1,0.526449,0.564508,0.932581,1,start=3861 restricted=3790 full=3791
J50M10N2,0.520707,0.387846,1.34256,1,start=3763 restricted=3655 full=3633
J50M10N3,0.321237,0.631583,0.508622,1,start=3704 restricted=3623 full=3631
J50M10N4,0.542495,0.382745,1.41738,1,start=3881 restricted=3808 full=3770
J50M10N5,0.333559,0.371984,0.896703,1,start=3887 restricted=3809 full=3779
J50M10N6,0.382643,0.456044,0.839048,1,start=3855 restricted=3709 full=3709
J50M10N7,0.35379,0.543065,0.651468,1,start=3975 restricted=3887 full=3875
J50M10N8,0.963425,0.851449,1.13151,1,start=3856 restricted=3741 full=3723
J50M10N9,0.251401,0.300376,0.836954,1,start=3738 restricted=3704 full=3704
J50M10N10,0.511986,1.39293,0.36756,1,start=3842 restricted=3784 full=3791
J50M20N1,0.675164,0.72652,0.929312,1,start=4789 restricted=4602 full=4595
J50M20N2,1.17434,1.55478,0.755312,1,start=4567 restricted=4463 full=4455
J50M20N3,0.525057,1.59563,0.32906,1,start=4549 restricted=4441 full=4476
J50M20N4,0.774265,0.507232,1.52645,1,start=4590 restricted=4509 full=4513
J50M20N5,0.941598,0.361925,2.60164,1,start=4550 restricted=4470 full=4417
J50M20N6,0.967769,1.97639,0.489666,1,start=4610 restricted=4462 full=4511
J50M20N7,0.665403,0.857193,0.776258,1,start=4536 restricted=4474 full=4466
J50M20N8,0.677707,0.772079,0.877769,1,start=4597 restricted=4488 full=4488
J50M20N9,1.37392,1.16554,1.17879,1,start=4598 restricted=4478 full=4479
J50M20N10,1.04129,1.68,0.619813,1,start=4671 restricted=4543 full=4571
J100M5N1,1.14968,1.10049,1.0447,1,start=6635 restricted=6448 full=6433
J100M5N2,1.05794,1.77476,0.596103,1,start=6465 restricted=6309 full=6321
J100M5N3,0.717083,1.27076,0.564292,1,start=6293 restricted=6193 full=6193
J100M5N4,1.22408,1.52092,0.804832,1,start=6198 restricted=6024 full=6024
J100M5N5,1.34221,1.5685,0.855726,1,start=6438 restricted=6246 full=6247
J100M5N6,0.937474,1.25531,0.74681,1,start=6291 restricted=6169 full=6201
J100M5N7,1.06662,1.23969,0.860393,1,start=6429 restricted=6281 full=6246
J100M5N8,0.665868,0.700232,0.950924,1,start=6397 restricted=6283 full=6267
J100M5N9,0.700291,1.15753,0.604988,1,start=6525 restricted=6401 full=6446
J100M5N10,0.735817,1.21441,0.605905,1,start=6616 restricted=6472 full=6472
J100M10N1,2.49911,2.70854,0.922677,1,start=7403 restricted=7233 full=7227
J100M10N2,2.82703,1.991,1.41991,1,start=7217 restricted=7041 full=7024
J100M10N3,2.23729,3.26912,0.68437,1,start=7305 restricted=7174 full=7163
J100M10N4,1.29737,1.26711,1.02389,1,start=7628 restricted=7502 full=7491
J100M10N5,1.64832,1.24429,1.32471,1,start=7235 restricted=7092 full=7036
J100M10N6,1.6733,1.49766,1.11728,1,start=6991 restricted=6881 full=6871
J100M10N7,1.722,2.17727,0.790898,1,start=7242 restricted=7029 full=7059
J100M10N8,1.64635,1.53342,1.07364,1,start=7328 restricted=7099 full=7137
J100M10N9,1.90983,2.31871,0.823659,1,start=7515 restricted=7344 full=7369
J100M10N10,2.43142,1.17915,2.06201,1,start=7459 restricted=7291 full=7251
J100M20N1,2.78548,7.20841,0.386421,1,start=8302 restricted=8012 full=8021
J100M20N2,4.58,3.07412,1.48986,1,start=8268 restricted=8100 full=8083
J100M20N3,2.51955,2.81398,0.895369,1,start=8200 restricted=8086 full=8082
J100M20N4,2.60808,2.59165,1.00634,1,start=8284 restricted=8180 full=8166
J100M20N5,3.96841,4.39281,0.903389,1,start=8248 restricted=8033 full=8004
J100M20N6,2.24415,2.72164,0.824558,1,start=8345 restricted=8174 full=8155
J100M20N7,2.09017,2.43803,0.857319,1,start=8318 restricted=8256 full=8222
J100M20N8,1.91163,2.30729,0.828518,1,start=8404 restricted=8286 full=8257
J100M20N9,3.63834,2.23327,1.62915,1,start=8287 restricted=8196 full=8170
J100M20N10,4.13017,2.97765,1.38706,1,start=8393 restricted=8284 full=8279
J200M5N1,4.17421,4.88746,0.854066,1,start=12733 restricted=12422 full=12469
J200M5N2,10.171,4.2582,2.38856,1,start=12340 restricted=12136 full=11999
J200M5N3,5.47254,4.22294,1.29591,1,start=12634 restricted=12464 full=12434
J200M5N4,6.82962,5.92146,1.15337,1,start=12837 restricted=12514 full=12437
J200M5N5,5.54845,3.80244,1.45918,1,start=12727 restricted=12419 full=12380
J200M5N6,5.77603,5.66772,1.01911,1,start=12457 restricted=12158 full=12113
J200M5N7,5.68626,4.11286,1.38255,1,start=12873 restricted=12694 full=12581
J200M5N8,4.76702,5.26658,0.905147,1,start=12620 restricted=12236 full=12306
J200M5N9,5.52159,6.5717,0.840207,1,start=12450 restricted=12248 full=12266
J200M5N10,4.55847,6.56608,0.694245,1,start=12468 restricted=12190 full=12181
J200M10N1,8.93617,5.58312,1.60057,1,start=14225 restricted=13982 full=13882
J200M10N2,9.37362,11.3906,0.822925,1,start=14196 restricted=13849 full=13840
J200M10N3,14.2136,12.2238,1.16278,1,start=14272 restricted=13911 full=13936
J200M10N4,9.38851,16.8073,0.558597,1,start=14222 restricted=13924 full=13904
J200M10N5,8.14036,11.826,0.688346,1,start=14093 restricted=13806 full=13747
J200M10N6,7.43981,22.4929,0.330763,1,start=13962 restricted=13514 full=13659
J200M10N7,9.00141,6.31513,1.42537,1,start=14379 restricted=14172 full=14171
J200M10N8,6.51191,10.2985,0.632316,1,start=14424 restricted=14016 full=14099
J200M10N9,9.75313,7.17956,1.35846,1,start=14158 restricted=13921 full=13858
J200M10N10,11.0095,9.57569,1.14973,1,start=14170 restricted=13873 full=13862
J200M20N1,23.3166,17.077,1.36538,1,start=15459 restricted=15181 full=15177
J200M20N2,19.2275,17.5802,1.0937,1,start=15643 restricted=15402 full=15402
J200M20N3,17.8704,13.54,1.31982,1,start=15622 restricted=15456 full=15395
J200M20N4,25.3208,37.772,0.670361,1,start=15636 restricted=15416 full=15422
J200M20N5,20.4901,14.8105,1.38349,1,start=15601 restricted=15313 full=15301
J200M20N6,21.6933,13.8832,1.56255,1,start=15811 restricted=15554 full=15476
J200M20N7,20.1535,16.255,1.23983,1,start=15637 restricted=15426 full=15427
J200M20N8,26.0494,35.8364,0.726898,1,start=15776 restricted=15340 full=15324
J200M20N9,19.237,8.42209,2.28411,1,start=15701 restricted=15557 full=15416
J200M20N10,14.7083,21.0489,0.698767,1,start=15709 restricted=15398 full=15459
J500M5N1,56.1709,51.9797,1.08063,1,start=31233 restricted=30466 full=30487
J500M5N2,44.5093,64.8461,0.686383,1,start=31498 restricted=30800 full=30862
J500M5N3,75.8816,63.5205,1.1946,1,start=31360 restricted=30605 full=30540
J500M5N4,57.7981,49.7364,1.16209,1,start=31157 restricted=30434 full=30441
J500M5N5,35.6273,40.4499,0.880775,1,start=31345 restricted=30584 full=30435
J500M5N6,57.9149,74.3139,0.779327,1,start=31307 restricted=30397 full=30345
J500M5N7,53.8899,48.6143,1.10852,1,start=30916 restricted=30306 full=30136
J500M5N8,47.9492,59.4478,0.806577,1,start=31128 restricted=30635 full=30550
J500M5N9,48.0184,40.7731,1.1777,1,start=31227 restricted=30475 full=30448
J500M5N10,23.8886,47.9163,0.498548,1,start=30880 restricted=30215 full=30254
J500M10N1,120.977,70.8127,1.70841,1,start=34670 restricted=33899 full=33808
J500M10N2,55.0429,70.5265,0.780457,1,start=34980 restricted=34403 full=34285
J500M10N3,43.4198,92.2225,0.470815,1,start=34672 restricted=34036 full=34144
J500M10N4,107.302,153.744,0.697925,1,start=34985 restricted=34202 full=34243
J500M10N5,126.497,104.3,1.21282,1,start=34536 restricted=33789 full=33560
J500M10N6,43.2655,75.8569,0.570357,1,start=34870 restricted=34223 full=34330
J500M10N7,115.184,154.753,0.744312,1,start=34665 restricted=33746 full=33848
