instance,naive_ms,accel_ms,factor,correct,note
J20M5N1,0.293737,0.0391312,7.50648,1,makespan=1597
J20M5N2,0.274521,0.0345694,7.94116,1,makespan=1696
J20M5N3,0.265291,0.0327476,8.10109,1,makespan=1551
J20M5N4,0.165569,0.0241984,6.84215,1,makespan=1701
J20M5N5,0.246491,0.0319292,7.71994,1,makespan=1514
J20M5N6,0.169539,0.0209212,8.10367,1,makespan=1601
J20M5N7,0.322207,0.0345584,9.32355,1,makespan=1607
J20M5N8,0.169352,0.020875,8.11269,1,makespan=1649
J20M5N9,0.170571,0.0207694,8.21262,1,makespan=1568
J20M5N10,0.426128,0.0325784,13.0801,1,makespan=1558
J20M10N1,0.495774,0.0692726,7.15686,1,makespan=2081
J20M10N2,0.198646,0.0361592,5.49364,1,makespan=2227
J20M10N3,0.198994,0.0361902,5.49856,1,makespan=1917
J20M10N4,0.197702,0.0364756,5.42012,1,makespan=1946
J20M10N5,0.212475,0.0335146,6.33976,1,makespan=1911
J20M10N6,0.199478,0.0452752,4.4059,1,makespan=1899
J20M10N7,0.186614,0.0336326,5.54861,1,makespan=1788
J20M10N8,0.276386,0.0502984,5.49493,1,makespan=2039
J20M10N9,0.199151,0.0334768,5.94893,1,makespan=1949
J20M10N10,0.188759,0.0439462,4.29522,1,makespan=2052
J20M20N1,0.325393,0.0640186,5.08279,1,makespan=2840
J20M20N2,0.47645,0.104826,4.54514,1,makespan=2745
J20M20N3,0.43739,0.097678,4.47788,1,makespan=2758
J20M20N4,0.486692,0.108113,4.50171,1,makespan=2745
J20M20N5,0.438816,0.0967496,4.53558,1,makespan=2839
J20M20N6,0.991995,0.218759,4.53465,1,makespan=2656
J20M20N7,0.289553,0.0652078,4.44046,1,makespan=2720
J20M20N8,0.289684,0.0640214,4.5248,1,makespan=2648
J20M20N9,0.307695,0.0686332,4.48318,1,makespan=2820
J20M20N10,0.299371,0.0643062,4.65539,1,makespan=2659
J50M5N1,3.54237,0.273186,12.9669,1,makespan=3852
