instance,naive_ms,accel_ms,factor,correct,note
J20M5N1,3.97171,0.893858,4.44334,1,calls=2000
J20M5N2,3.9799,0.930423,4.27752,1,calls=2000
J20M5N3,5.71436,1.46729,3.8945,1,calls=2000
J20M5N4,7.43554,2.44639,3.03939,1,calls=2000
J20M5N5,4.10349,1.13552,3.61376,1,calls=2000
J20M5N6,3.76949,0.87648,4.30071,1,calls=2000
J20M5N7,4.36279,1.42366,3.06448,1,calls=2000
J20M5N8,3.74055,0.855783,4.37091,1,calls=2000
J20M5N9,4.32668,0.834972,5.18183,1,calls=2000
J20M5N10,8.80965,1.47623,5.96765,1,calls=2000
J20M10N1,5.60095,2.49074,2.24871,1,calls=2000
J20M10N2,5.72827,1.40428,4.07916,1,calls=2000
J20M10N3,4.59981,1.29302,3.55741,1,calls=2000
J20M10N4,4.39427,1.43141,3.06989,1,calls=2000
J20M10N5,4.4913,1.36018,3.30199,1,calls=2000
J20M10N6,7.42737,3.09393,2.40062,1,calls=2000
J20M10N7,5.25992,1.93946,2.71205,1,calls=2000
J20M10N8,5.3183,1.99889,2.66063,1,calls=2000
J20M10N9,4.96958,1.32279,3.75691,1,calls=2000
J20M10N10,7.16799,3.79586,1.88837,1,calls=2000
J20M20N1,7.83065,2.61914,2.98978,1,calls=2000
J20M20N2,9.7801,4.39278,2.2264,1,calls=2000
J20M20N3,8.32325,4.08862,2.03571,1,calls=2000
J20M20N4,8.43875,4.80745,1.75535,1,calls=2000
J20M20N5,8.64636,3.79105,2.28073,1,calls=2000
J20M20N6,9.42765,5.67835,1.66028,1,calls=2000
J20M20N7,10.4801,4.3312,2.41968,1,calls=2000
J20M20N8,8.254,2.69469,3.06306,1,calls=2000
J20M20N9,7.25117,2.18001,3.32621,1,calls=2000
J20M20N10,9.56997,2.46099,3.88866,1,calls=2000
J50M5N1,13.1305,1.93366,6.7905,1,calls=2000
J50M5N2,12.9248,1.96006,6.59409,1,calls=2000
J50M5N3,12.9294,1.89757,6.81363,1,calls=2000
J50M5N4,13.2027,1.96805,6.70854,1,calls=2000
J50M5N5,13.0399,1.90753,6.836,1,calls=2000
J50M5N6,12.969,1.92432,6.73952,1,calls=2000
J50M5N7,12.935,1.85701,6.96547,1,calls=2000
