instance,naive_ms,accel_ms,factor,correct,note
J20M5N1,0.144594,0.0145152,9.96156,1,makespan=1463
J20M5N2,0.244574,0.0168046,14.554,1,makespan=1501
J20M5N3,0.223417,0.015149,14.748,1,makespan=1404
J20M5N4,0.159891,0.0107898,14.8187,1,makespan=1489
J20M5N5,0.214448,0.0178728,11.9986,1,makespan=1410
J20M5N6,0.134812,0.009775,13.7915,1,makespan=1453
J20M5N7,0.264649,0.0156956,16.8614,1,makespan=1456
J20M5N8,0.140331,0.0103272,13.5884,1,makespan=1481
J20M5N9,0.138743,0.0102742,13.504,1,makespan=1457
J20M5N10,0.338891,0.017041,19.8868,1,makespan=1304
J20M10N1,0.404122,0.0239106,16.9014,1,makespan=1813
J20M10N2,0.159802,0.01285,12.436,1,makespan=1984
J20M10N3,0.162907,0.0130502,12.4831,1,makespan=1728
J20M10N4,0.163571,0.0149004,10.9776,1,makespan=1670
J20M10N5,0.183866,0.014771,12.4478,1,makespan=1704
J20M10N6,0.354752,0.0322048,11.0155,1,makespan=1657
J20M10N7,0.189713,0.0146108,12.9844,1,makespan=1732
J20M10N8,0.22438,0.0182024,12.327,1,makespan=1846
J20M10N9,0.210071,0.015661,13.4137,1,makespan=1820
J20M10N10,0.185381,0.0148194,12.5094,1,makespan=1915
J20M20N1,0.395883,0.0257158,15.3945,1,makespan=2571
J20M20N2,0.419235,0.0306506,13.6779,1,makespan=2330
J20M20N3,0.332028,0.0294126,11.2886,1,makespan=2674
J20M20N4,0.372159,0.0377564,9.85683,1,makespan=2465
J20M20N5,0.575484,0.0630916,9.1214,1,makespan=2569
J20M20N6,0.738337,0.0955284,7.72898,1,makespan=2546
J20M20N7,0.26394,0.023475,11.2434,1,makespan=2471
J20M20N8,0.256045,0.0273986,9.34519,1,makespan=2442
J20M20N9,0.257247,0.025452,10.1072,1,makespan=2512
J20M20N10,0.258269,0.0250314,10.3178,1,makespan=2389
J50M5N1,2.44598,0.0468506,52.2081,1,makespan=3235
J50M5N2,3.1764,0.0680068,46.7071,1,makespan=3391
J50M5N3,3.1277,0.0651646,47.9969,1,makespan=3223
J50M5N4,2.11414,0.0535796,39.4579,1,makespan=3359
J50M5N5,7.05844,0.144591,48.8164,1,makespan=3373
J50M5N6,2.1119,0.0542944,38.8971,1,makespan=3359
J50M5N7,3.15859,0.0677498,46.6214,1,makespan=3224
